gamesPlayed,averageTDError,weightDelta
1000,0.029577272,1.8280832
2000,0.03845813,1.2801698
3000,0.039513655,1.1587412
4000,0.039884645,0.95547974
5000,0.042012215,0.80283237
6000,0.043536387,0.7531304
7000,0.04281555,0.67531306
8000,0.04208786,0.671086
9000,0.03762318,0.5117777
10000,0.036620244,0.3923409
11000,0.035099033,0.41537404
12000,0.035573788,0.425536
13000,0.033556778,0.39696994
14000,0.033389486,0.30208212
15000,0.03310603,0.39308587
16000,0.037298374,0.51061636
17000,0.03905166,0.59567785
18000,0.040787794,0.4567208
19000,0.03998717,0.5241408
20000,0.038219992,0.40886024
21000,0.03867536,0.38368344
22000,0.037539925,0.45833203
23000,0.0379069,0.38285616
24000,0.038799837,0.3963141
25000,0.03883152,0.48014674
26000,0.037600018,0.5116609
27000,0.039818738,0.6094556
28000,0.042116903,0.51221406
29000,0.04398989,0.46892515
30000,0.045284126,0.59098196
31000,0.050699033,0.6820517
32000,0.055849116,0.76303613
33000,0.041162726,1.255804
34000,0.037756443,1.133066
35000,0.034377933,1.634409
36000,0.029288385,2.3297884
37000,0.029479811,2.7351882
38000,0.031989075,2.1048498
39000,0.0393051,0.97930163
40000,0.039275244,0.68725246
41000,0.037937514,0.67612076
42000,0.037433635,0.46670705
43000,0.0372326,0.6409461
44000,0.035886705,0.406361
45000,0.035034794,0.38625824
46000,0.035748098,0.40196815
47000,0.033679977,0.48476577
48000,0.034179777,0.7044489
49000,0.034304596,0.6567987
50000,0.033894386,0.36145812
51000,0.033399697,0.2916452
52000,0.032562073,0.2846963
53000,0.032856576,0.35637486
54000,0.031201428,0.35501817
55000,0.03350121,0.6391662
56000,0.03132686,0.37853688
57000,0.032554045,0.6834984
58000,0.03378312,0.30702788
59000,0.032652233,0.65705204
60000,0.039784748,0.861481
61000,0.047579058,1.2634422
62000,0.044781797,1.5139879
63000,0.042150214,1.4596946
64000,0.039991826,0.70049447
65000,0.038755458,1.1593126
66000,0.03633831,1.1825234
67000,0.033770017,0.758951
68000,0.03366413,0.5701385
69000,0.03319777,0.668396
70000,0.031519078,0.4915967
71000,0.03195185,0.4602435
72000,0.0294991,1.8996838
73000,0.03033723,1.653545
74000,0.03120299,0.85335106
75000,0.028743397,0.92746156
76000,0.027396664,0.30983344
77000,0.028239675,0.55907494
78000,0.02954371,0.28437424
79000,0.029398313,0.9189154
80000,0.02869306,0.5888969
81000,0.03016809,0.6817872
82000,0.029488405,0.4272595
83000,0.028310647,0.28840792
84000,0.02667413,1.7725481
85000,0.027640525,2.2673671
86000,0.028495297,0.2887169
87000,0.028511938,0.25532064
88000,0.030975278,2.0425603
89000,0.029856222,1.8683954
90000,0.029062975,0.81112564
91000,0.028041696,1.963516
92000,0.02737121,2.3723407
93000,0.028823923,2.0179622
94000,0.02732069,0.68872106
95000,0.026099341,0.7647953
96000,0.029271632,1.920279
97000,0.02740467,0.34528556
98000,0.02773996,0.90172243
99000,0.029999971,1.2895814
100000,0.02751692,1.5310187
