gamesPlayed,averageTDError,weightDelta
1000,0.034913998,1.4276372
2000,0.03801971,0.6714505
3000,0.040817708,0.5271066
4000,0.043818433,0.3762404
5000,0.044706207,0.35408008
6000,0.04517267,0.31616688
7000,0.04590034,0.2744829
8000,0.04555152,0.29394287
9000,0.04543323,0.25044754
10000,0.044581138,0.3018646
11000,0.044335175,0.27746785
12000,0.043746922,0.27149478
13000,0.044477843,0.2425175
14000,0.0460238,0.22290704
15000,0.046430904,0.19833542
16000,0.04685727,0.19149272
17000,0.04700682,0.16611312
18000,0.048023168,0.20544815
19000,0.04820635,0.1705418
20000,0.048321757,0.17967045
21000,0.04908535,0.17191081
22000,0.04883103,0.14585058
23000,0.04905894,0.14724627
24000,0.049430095,0.17523132
25000,0.049163662,0.1470281
26000,0.049422357,0.16611046
27000,0.04819795,0.15662615
28000,0.049336646,0.30860445
29000,0.050647803,0.25649983
30000,0.049688954,0.22140408
31000,0.050687358,0.23041129
32000,0.049356308,0.28503782
33000,0.048135858,0.22219805
34000,0.04703084,0.19972754
35000,0.04722828,0.19757785
36000,0.046190817,0.19927478
37000,0.04589491,0.19549127
38000,0.046076503,0.19614415
39000,0.04612702,0.2051668
40000,0.04558584,0.17020254
41000,0.045997,0.18534282
42000,0.043284673,0.18652809
43000,0.04365591,0.262507
44000,0.0424659,0.20365457
45000,0.042173564,0.2485492
46000,0.044174742,0.17275879
47000,0.04201867,0.27679753
48000,0.039167065,0.22154684
49000,0.041185215,0.19383354
50000,0.042770773,0.28789335
51000,0.042679954,0.16740556
52000,0.041772302,0.19781111
53000,0.04182897,0.28643015
54000,0.042599875,0.22630978
55000,0.041948993,0.17058471
56000,0.041015852,0.29638872
57000,0.03903887,0.2928294
58000,0.03850671,0.36495042
59000,0.03855811,0.20756355
60000,0.03609307,0.26603627
61000,0.03476658,0.3235729
62000,0.036376722,0.26739702
63000,0.036106873,0.21989354
64000,0.037217658,0.15932831
65000,0.034840122,0.1954845
66000,0.035028797,0.16105913
67000,0.035012934,0.18381156
68000,0.03466193,0.1577497
69000,0.033582788,0.1567781
70000,0.033611048,0.15136456
71000,0.034215618,0.21301953
72000,0.032882754,0.17393506
73000,0.0343859,0.21102464
74000,0.034117945,0.15627828
75000,0.03358697,0.14224243
76000,0.034868393,0.32585078
77000,0.034705263,0.36854503
78000,0.03312094,0.13967581
79000,0.031647433,0.24235769
80000,0.03316936,0.19450822
81000,0.030168453,0.45516652
82000,0.030318465,0.16829309
83000,0.030795084,0.17791228
84000,0.030564955,0.15109532
85000,0.031727355,0.16596726
86000,0.03047816,0.2482387
87000,0.029920453,0.13675636
88000,0.029855143,0.17444788
89000,0.029642519,0.6823903
90000,0.028863758,0.15518852
91000,0.030162608,0.1426242
92000,0.029622497,0.32151386
93000,0.028634867,0.23945092
94000,0.02904697,0.19568732
95000,0.032526124,0.5210932
96000,0.031034466,0.38075382
97000,0.03155332,0.36925665
98000,0.03256456,0.24378315
99000,0.032123793,0.1694247
100000,0.03397297,0.38480794
