gamesPlayed,averageTDError,weightDelta
1000,0.031495105,0.9166278
2000,0.03369502,0.6515389
3000,0.03474055,0.48994792
4000,0.035370864,0.51760095
5000,0.03608712,0.52668965
6000,0.03707872,0.5115761
7000,0.038307104,0.46476436
8000,0.03917965,0.41162643
9000,0.039902676,0.4509433
10000,0.03918515,0.4735935
11000,0.039192807,0.43456662
12000,0.03891843,0.36272633
13000,0.039907947,0.32648164
14000,0.04022577,0.33074668
15000,0.041146632,0.30108055
16000,0.042147566,0.26857802
17000,0.04235068,0.24517077
18000,0.042949665,0.22349852
19000,0.042404085,0.21340474
20000,0.041915204,0.21268868
21000,0.04212939,0.1929971
22000,0.042599175,0.2257057
23000,0.041652128,0.19506234
24000,0.04298627,0.1886268
25000,0.04326707,0.23032522
26000,0.0423352,0.17635006
27000,0.042482477,0.16715983
28000,0.042013843,0.16273013
29000,0.042032905,0.23156157
30000,0.042695805,0.17478071
31000,0.041069664,0.18762644
32000,0.043342683,0.19095095
33000,0.04286067,0.17079276
34000,0.042688966,0.14165023
35000,0.043125723,0.172802
36000,0.04343335,0.18660434
37000,0.04316893,0.18331955
38000,0.04298604,0.15522811
39000,0.043987148,0.16179368
40000,0.044459105,0.15411043
41000,0.045190826,0.23543128
42000,0.044171173,0.40609396
43000,0.04401086,0.37572706
44000,0.043369036,0.32323283
45000,0.043197136,0.3032688
46000,0.04280073,0.29750073
47000,0.04130912,0.25926697
48000,0.042069137,0.24579325
49000,0.041454367,0.27266395
50000,0.041622166,0.27700374
51000,0.041282557,0.2681683
52000,0.040423114,0.27723306
53000,0.041276857,0.2616461
54000,0.041420374,0.25094163
55000,0.04101622,0.26149222
56000,0.041817002,0.2531456
57000,0.041884217,0.2426642
58000,0.0419184,0.25161105
59000,0.040252224,0.463867
60000,0.0402272,0.38420305
61000,0.039996102,0.30769795
62000,0.039249837,0.27106413
63000,0.039434478,0.24364623
64000,0.0391664,0.23449866
65000,0.038595814,0.25676703
66000,0.038862407,0.20034973
67000,0.03803329,0.20143229
68000,0.038813677,0.22203022
69000,0.038506657,0.34154624
70000,0.037809703,0.2449986
71000,0.038202234,0.28681466
72000,0.038009133,0.29305345
73000,0.03741286,0.2943995
74000,0.035706986,0.35406542
75000,0.03596492,0.2772325
76000,0.036049135,0.29767638
77000,0.036547337,0.3771548
78000,0.037461914,0.24163724
79000,0.03720327,0.37273812
80000,0.035951942,0.80741376
81000,0.03387027,0.34049612
82000,0.032959208,0.41601685
83000,0.034834176,0.71470016
84000,0.03631482,0.34454685
85000,0.037702322,0.30889103
86000,0.035794783,0.49479675
87000,0.03377821,0.27665457
88000,0.033994745,0.29872704
89000,0.032280654,0.24409553
90000,0.032174055,0.4275453
91000,0.030707382,0.7261571
92000,0.028621418,0.66598463
93000,0.027678888,0.6173021
94000,0.026592053,0.83631474
95000,0.025715694,1.3676131
96000,0.02501402,2.4992776
97000,0.022273557,5.6621904
98000,0.027468555,0.3886266
99000,0.035856985,0.3902537
100000,0.03039832,0.6160787
