gamesPlayed,averageTDError,weightDelta
1000, 0.035935413, 1.2038175
2000, 0.03622342, 0.7885811
3000, 0.03755845, 0.70179546
4000, 0.03820481, 0.7099527
5000, 0.03817936, 0.7005218
6000, 0.03910008, 0.6056444
7000, 0.040885735, 0.5259673
8000, 0.041248005, 0.3972661
9000, 0.0414086, 0.35443443
10000, 0.041612927, 0.33990598
11000, 0.04263766, 0.3155024
12000, 0.042595606, 0.2773585
13000, 0.04318899, 0.29944813
14000, 0.041777257, 0.33528176
15000, 0.043443494, 0.25516227
16000, 0.040982816, 0.3390753
17000, 0.041456938, 0.2488836
18000, 0.04160647, 0.28810203
19000, 0.04129244, 0.22080164
20000, 0.041465785, 0.30421793
21000, 0.03855432, 0.34837264
22000, 0.037258666, 0.2790111
23000, 0.037744958, 0.48485383
24000, 0.03762118, 0.40552005
25000, 0.037205465, 0.21929024
26000, 0.037448432, 0.2688823
27000, 0.03802739, 0.26021975
28000, 0.03801713, 0.22445434
29000, 0.03678906, 0.36246097
30000, 0.037711248, 0.2786991
31000, 0.03623367, 0.17570955
32000, 0.037316993, 0.1647258
33000, 0.03669131, 0.19884437
34000, 0.037241057, 0.23940843
35000, 0.037746698, 0.15728402
36000, 0.037277475, 0.17517902
37000, 0.037408926, 0.19050235
38000, 0.036838382, 0.5372693
39000, 0.03727667, 0.39909366
40000, 0.03789448, 0.4707868
41000, 0.039300352, 0.37912259
42000, 0.03923383, 0.2563937
43000, 0.04007289, 0.3341509
44000, 0.03865507, 0.3303058
45000, 0.039438486, 0.27834457
46000, 0.03691554, 0.63011473
47000, 0.03716751, 0.5972615
48000, 0.03801341, 0.6462798
49000, 0.03928351, 0.4715278
50000, 0.038504165, 0.32499987
51000, 0.037895773, 0.26348126
52000, 0.036649823, 0.26180735
53000, 0.037733044, 0.36046246
54000, 0.037988763, 0.20871168
55000, 0.03717033, 0.19383617
56000, 0.037764158, 0.73054165
57000, 0.03775059, 0.38341406
58000, 0.03815512, 0.18246517
59000, 0.03837168, 0.7547072
60000, 0.037724547, 0.34570163
61000, 0.037928257, 0.26541793
62000, 0.037531335, 0.29541966
63000, 0.03759794, 0.39780614
64000, 0.037155047, 0.43465814
65000, 0.03749456, 0.5850072
66000, 0.038179975, 0.32613313
67000, 0.03810448, 0.23415434
68000, 0.038390845, 0.5076531
69000, 0.035952967, 0.27241635
70000, 0.036056176, 0.5640868
71000, 0.035749, 0.49834138
72000, 0.038080703, 0.3200032
73000, 0.038973853, 0.33511722
74000, 0.03577686, 0.48156008
75000, 0.036024403, 0.21651682
76000, 0.037130725, 0.20848103
77000, 0.03643627, 0.72332656
78000, 0.037224732, 0.25397334
79000, 0.0386981, 0.25603965
80000, 0.037231766, 0.15028693
81000, 0.03751485, 0.21202643
82000, 0.035815135, 0.240172
83000, 0.036278687, 0.48767665
84000, 0.036653865, 0.75779116
85000, 0.035122916, 0.4289406
86000, 0.035331983, 0.69566214
87000, 0.036846716, 0.213121
88000, 0.03854448, 0.20658368
89000, 0.036470626, 0.25656247
90000, 0.037347026, 0.42941067
91000, 0.0358956, 0.46010476
92000, 0.034706477, 0.16661428
93000, 0.035899088, 0.36083245
94000, 0.03521092, 0.16041332
95000, 0.034993544, 0.8824315
96000, 0.03508016, 0.63654685
97000, 0.035181176, 0.30616158
98000, 0.035261992, 0.40380207
99000, 0.035646114, 0.14402157
100000, 0.036402743, 0.21973297
101000, 0.036391888, 0.18466507
102000, 0.03732324, 0.1862818
103000, 0.037536006, 0.2919537
104000, 0.035019226, 0.55672926
105000, 0.035324622, 0.6614358
106000, 0.0367248, 0.3497033
107000, 0.03435243, 0.20026259
108000, 0.035595063, 0.40851063
109000, 0.03533564, 0.4483902
110000, 0.036060162, 0.82355386
111000, 0.0354981, 0.3057956
112000, 0.036900517, 1.3381994
113000, 0.035885397, 0.2813514
114000, 0.03536364, 0.21769702
115000, 0.033983942, 0.29946086
116000, 0.034568854, 0.5121093
117000, 0.036068182, 0.92821115
118000, 0.03598068, 0.16817953
119000, 0.035316885, 0.2051363
120000, 0.037214354, 0.1776057
121000, 0.03486861, 0.2081289
122000, 0.03450187, 0.5504327
123000, 0.03474555, 0.21834321
124000, 0.035197593, 0.28254262
125000, 0.036381457, 0.19506562
126000, 0.03646836, 0.1925128
127000, 0.03602745, 0.1404334
128000, 0.03588778, 0.3220697
129000, 0.03418603, 0.4144039
130000, 0.035610836, 0.17192851
131000, 0.0366501, 0.15208259
132000, 0.03673407, 0.23373838
133000, 0.03534155, 0.12726735
134000, 0.03658566, 0.20832342
135000, 0.033987015, 0.6426987
136000, 0.034719814, 0.6606002
137000, 0.035035443, 0.6999806
138000, 0.03550848, 0.47808602
139000, 0.035296552, 0.21144603
140000, 0.035681956, 0.20335779
141000, 0.037097856, 0.158758
142000, 0.034047157, 0.5140905
143000, 0.038557854, 0.39141694
144000, 0.03525189, 0.13279615
145000, 0.033449363, 0.48895937
146000, 0.033801347, 0.5272679
147000, 0.03489072, 0.73683983
148000, 0.035701327, 0.14734434
149000, 0.034328263, 0.6622305
150000, 0.03526605, 0.38637164
151000, 0.03541995, 0.3796562
152000, 0.035142884, 0.19700578
153000, 0.034703936, 0.3009236
154000, 0.036687423, 0.45874906
155000, 0.033922136, 1.0553303
156000, 0.03415246, 0.47233254
157000, 0.03351261, 1.1222321
158000, 0.032950126, 0.3820155
159000, 0.036010515, 1.4762751
160000, 0.032147057, 1.7915006
161000, 0.034199696, 0.994305
162000, 0.032204382, 0.22333974
163000, 0.032319963, 0.14737824
164000, 0.03318144, 0.492733
165000, 0.0344774, 0.39429885
166000, 0.033322267, 0.7590336
167000, 0.032067746, 0.6900011
168000, 0.033703916, 0.6381117
169000, 0.03376346, 0.1518392
170000, 0.034503933, 0.33268127
171000, 0.03392169, 0.15364468
172000, 0.033065327, 0.13328183
173000, 0.03485865, 0.4849013
174000, 0.033527877, 0.73537976
175000, 0.03246684, 0.69211787
176000, 0.032666985, 0.3880515
177000, 0.033201467, 0.46150127
178000, 0.035909146, 0.13696861
179000, 0.03447954, 0.15109105
180000, 0.03391164, 0.31311426
181000, 0.03436504, 0.6093994
182000, 0.03414569, 0.4976197
183000, 0.033843905, 1.2893453
184000, 0.034186654, 1.3437437
185000, 0.03348356, 1.0160935
186000, 0.03329349, 0.41963947
187000, 0.033076555, 0.15265381
188000, 0.03261054, 0.60430753
189000, 0.033278473, 0.3966933
190000, 0.03267326, 0.21343414
191000, 0.032349613, 0.6552781
192000, 0.033241637, 1.4769537
193000, 0.031905077, 0.77663636
194000, 0.03173381, 0.5048062
195000, 0.033331964, 1.3564537
196000, 0.033706997, 0.32550916
197000, 0.033038214, 1.2711668
198000, 0.032703426, 0.19136228
199000, 0.031580117, 0.42210427
200000, 0.031577606, 0.8715836
