gamesPlayed,averageTDError,weightDelta
1000, 0.030971032, 1.3854661
2000, 0.03721563, 0.84014356
3000, 0.039530218, 0.7753204
4000, 0.039791614, 0.6811396
5000, 0.039625287, 0.61534595
6000, 0.039288666, 0.53556716
7000, 0.039244313, 0.4676738
8000, 0.038775083, 0.3767129
9000, 0.03724656, 0.41439787
10000, 0.03589407, 0.376095
11000, 0.03540624, 0.2974315
12000, 0.034487206, 0.28880927
13000, 0.033631135, 0.268966
14000, 0.033514313, 0.24165711
15000, 0.033268433, 0.4026521
16000, 0.032507498, 0.25786743
17000, 0.032559033, 0.3973185
18000, 0.031167593, 0.29046658
19000, 0.032030817, 0.716087
20000, 0.03241997, 1.0137583
21000, 0.039948586, 2.1549907
22000, 0.04317745, 3.1573184
23000, 0.034489807, 0.73826516
24000, 0.03608311, 0.83681715
25000, 0.037288163, 0.6728215
26000, 0.03695706, 0.67449147
27000, 0.03422747, 1.0878268
28000, 0.032057784, 1.2719276
29000, 0.029121967, 1.264215
30000, 0.029628955, 0.78541344
31000, 0.02955666, 0.41434407
32000, 0.030376151, 0.6421092
33000, 0.03069469, 0.35656154
34000, 0.030373331, 0.25539592
35000, 0.02994975, 0.42298564
36000, 0.030058606, 0.32386848
37000, 0.02935947, 0.4687971
38000, 0.0286941, 0.7066322
39000, 0.030052308, 1.0676265
40000, 0.030691912, 1.1258193
41000, 0.032740485, 1.3614491
42000, 0.035809338, 1.7808539
43000, 0.041342735, 1.3375841
44000, 0.04197437, 0.7258687
45000, 0.040467788, 0.45123747
46000, 0.039044704, 0.41727772
47000, 0.039153304, 0.33290944
48000, 0.041206922, 0.29431322
49000, 0.040634334, 0.28792068
50000, 0.04043518, 0.29662687
51000, 0.04199203, 0.29432833
52000, 0.041349217, 0.22339383
53000, 0.040855005, 0.2627486
54000, 0.040761854, 0.23291664
55000, 0.04043237, 0.3143392
56000, 0.041224513, 0.24456517
57000, 0.038263757, 0.24251957
58000, 0.038402583, 0.24323939
59000, 0.039117943, 0.23695306
60000, 0.03715687, 0.29992205
61000, 0.036768597, 0.30130756
62000, 0.036947485, 0.4817943
63000, 0.038342275, 0.43724647
64000, 0.037328035, 0.33599365
65000, 0.038405444, 0.29962683
66000, 0.0372499, 0.43791458
67000, 0.036877424, 0.39363492
68000, 0.037327107, 0.36034313
69000, 0.03577711, 0.43132615
70000, 0.03411651, 0.47241315
71000, 0.03192151, 0.32094306
72000, 0.031668045, 0.6723394
73000, 0.029995058, 0.6015457
74000, 0.029326154, 0.70900553
75000, 0.02906526, 0.77363646
76000, 0.02831532, 0.71256775
77000, 0.028279511, 0.51128703
78000, 0.02688492, 0.34941858
79000, 0.026872506, 0.54041815
80000, 0.02636797, 0.2643725
81000, 0.026496999, 0.22914557
82000, 0.025196759, 0.39384308
83000, 0.024798093, 0.4205059
84000, 0.02442071, 0.57053447
85000, 0.024372276, 0.22632417
86000, 0.022521937, 0.6418178
87000, 0.02233706, 0.55944276
88000, 0.022098709, 2.2445133
89000, 0.026268922, 4.560596
90000, 0.030158995, 1.8296525
91000, 0.023197107, 0.9410211
92000, 0.035573855, 1.090266
93000, 0.05122656, 1.437686
94000, 0.05129642, 1.0853423
95000, 0.051516414, 0.9729189
96000, 0.05002713, 0.85279113
97000, 0.048624005, 0.94463956
98000, 0.04757282, 0.67810816
99000, 0.046215344, 0.7201272
100000, 0.044920556, 0.71480036
101000, 0.043083273, 0.5059817
102000, 0.041794166, 0.5380461
103000, 0.0407375, 0.44588122
104000, 0.037589826, 0.5128164
105000, 0.036237434, 0.35946786
106000, 0.036388192, 0.38833934
107000, 0.03600777, 0.4376111
108000, 0.035999533, 0.32081583
109000, 0.034579594, 0.3005738
110000, 0.03556652, 0.30734056
111000, 0.036762264, 0.27273676
112000, 0.03769868, 0.3105644
113000, 0.0377505, 0.25861973
114000, 0.03721077, 0.69962066
115000, 0.037130993, 0.39041555
116000, 0.038127486, 0.7159714
117000, 0.03767201, 0.27415973
118000, 0.0379363, 0.4406619
119000, 0.0373705, 0.46200678
120000, 0.036872562, 0.7771616
121000, 0.03821147, 0.32862756
122000, 0.036607344, 0.19054677
123000, 0.037853643, 0.47384214
124000, 0.039829437, 1.7109596
125000, 0.036608838, 0.57569915
126000, 0.03857142, 0.6519843
127000, 0.0371861, 0.5988235
128000, 0.037712373, 0.71700543
129000, 0.04130904, 0.44514725
130000, 0.040428657, 0.5768052
131000, 0.03981804, 0.59820956
132000, 0.03669062, 0.22645183
133000, 0.039429545, 0.49322626
134000, 0.037156556, 0.23849936
135000, 0.03889903, 1.0445782
136000, 0.037528433, 0.23878781
137000, 0.038340468, 0.20726521
138000, 0.039871488, 0.2542691
139000, 0.039045833, 0.7049515
140000, 0.03688761, 0.18699391
141000, 0.038294025, 0.48278254
142000, 0.04067464, 0.58402675
143000, 0.03973748, 0.36324993
144000, 0.038729407, 0.25141323
145000, 0.039040823, 0.745576
146000, 0.038713556, 0.19978316
147000, 0.03781998, 0.26485795
148000, 0.03749802, 0.19883129
149000, 0.036398575, 1.4244773
150000, 0.03864568, 1.816703
151000, 0.03948034, 0.6552746
152000, 0.038967695, 1.3055512
153000, 0.038732827, 0.5139121
154000, 0.03973742, 0.59698355
155000, 0.038179114, 0.66313
156000, 0.039279506, 0.26186627
157000, 0.041203823, 1.304906
158000, 0.04467698, 1.2244594
159000, 0.04268013, 0.7433234
160000, 0.046271604, 1.0740058
161000, 0.04634031, 0.78315705
162000, 0.04671885, 0.6048951
163000, 0.046772562, 0.8677894
164000, 0.04540612, 0.3232594
165000, 0.044212513, 0.6119546
166000, 0.046277404, 1.2711076
167000, 0.041635185, 2.0243354
168000, 0.038646456, 0.88031745
169000, 0.040053815, 0.4256268
170000, 0.040974785, 1.482855
171000, 0.041943002, 0.28356132
172000, 0.04351405, 0.54143167
173000, 0.03848146, 1.4025505
174000, 0.040401652, 2.6129045
175000, 0.04310833, 1.9364457
176000, 0.044495776, 1.0629421
177000, 0.04445783, 0.64398587
178000, 0.041889958, 1.2606316
179000, 0.044067748, 0.44563287
180000, 0.043561853, 0.566718
181000, 0.04385721, 1.3851925
182000, 0.045251787, 0.25583214
183000, 0.043958273, 1.4015379
184000, 0.04190742, 0.8945189
185000, 0.04461603, 1.0143741
186000, 0.04342261, 0.30497345
187000, 0.04307771, 0.82071406
188000, 0.04660699, 2.2893968
189000, 0.047631573, 0.31685317
190000, 0.048224486, 0.69739574
191000, 0.046523996, 0.32153937
192000, 0.04590761, 0.27537814
193000, 0.045318455, 0.36059391
194000, 0.044785142, 0.3123508
195000, 0.044212528, 0.3621553
196000, 0.037787568, 0.50251937
197000, 0.03616863, 0.32572803
198000, 0.035654217, 0.35883638
199000, 0.03581396, 0.27288926
200000, 0.034940857, 0.24993911
1000, 0.03382315, 1.3400668
2000, 0.031713843, 0.84834146
3000, 0.032857332, 0.8161998
4000, 0.034296993, 0.78622407
5000, 0.037275366, 0.8279228
6000, 0.041650947, 0.83040303
7000, 0.048095193, 0.5311759
8000, 0.04806347, 0.47472122
9000, 0.050827213, 0.35723132
10000, 0.05001467, 0.28982103
11000, 0.05078295, 0.26656783
12000, 0.053044345, 0.35405394
13000, 0.05345742, 0.24755177
14000, 0.054754518, 0.22797638
15000, 0.056548234, 0.24455701
