gamesPlayed,averageTDError,weightDelta
1000, 0.0351217, 1.2429323
2000, 0.03905229, 0.7718215
3000, 0.040520404, 0.58760166
4000, 0.042184334, 0.49525836
5000, 0.04343137, 0.47323367
6000, 0.043045186, 0.5218659
7000, 0.041833036, 0.5401565
8000, 0.04180661, 0.56517893
9000, 0.041638162, 0.47591063
10000, 0.04033582, 0.39496344
11000, 0.039808962, 0.34348518
12000, 0.039994754, 0.30991983
13000, 0.039407946, 0.31366614
14000, 0.038177934, 0.26769054
15000, 0.03856676, 0.28402296
16000, 0.038679503, 0.21907574
17000, 0.037565313, 0.22562227
18000, 0.03793044, 0.19346783
19000, 0.03696812, 0.19240378
20000, 0.03667072, 0.19507712
21000, 0.037250232, 0.2921952
22000, 0.037141714, 0.17331672
23000, 0.036795095, 0.22067592
24000, 0.038400088, 0.20019907
25000, 0.038726278, 0.20654048
26000, 0.03899435, 0.24023256
27000, 0.038697504, 0.21326597
28000, 0.037587624, 0.1814252
29000, 0.038674105, 0.18729654
30000, 0.039371278, 0.25367722
31000, 0.0386248, 0.14107142
32000, 0.039755274, 0.1687426
33000, 0.040070232, 0.17233722
34000, 0.038716372, 0.26269016
35000, 0.03905092, 0.12657294
36000, 0.03854693, 0.13725044
37000, 0.038378518, 0.21390855
38000, 0.038089115, 0.11963562
39000, 0.03942231, 0.16486639
40000, 0.038781915, 0.206774
41000, 0.038270626, 0.12410059
42000, 0.037812296, 0.14745958
43000, 0.03746026, 0.105048925
44000, 0.036666177, 0.14326578
45000, 0.037065934, 0.106137685
46000, 0.036946557, 0.11267992
47000, 0.03730356, 0.12033399
48000, 0.036269113, 0.11954149
49000, 0.036456574, 0.12272208
50000, 0.036956556, 0.14198965
51000, 0.035806168, 0.094701625
52000, 0.035847995, 0.1254621
53000, 0.036098886, 0.122628674
54000, 0.035311967, 0.21143126
55000, 0.037119884, 0.21795122
56000, 0.037633378, 0.0979372
57000, 0.037358217, 0.09972108
58000, 0.036692265, 0.10080072
59000, 0.036457848, 0.12546362
60000, 0.03587384, 0.12337502
61000, 0.03732788, 0.12797809
62000, 0.037121847, 0.13129467
63000, 0.036682017, 0.09776966
64000, 0.03702823, 0.10973468
65000, 0.03659947, 0.111762986
66000, 0.037742943, 0.16743484
67000, 0.03684353, 0.1290172
68000, 0.037237003, 0.15324976
69000, 0.035684727, 0.32772282
70000, 0.03645169, 0.25157678
71000, 0.03624052, 0.14172925
72000, 0.03769697, 0.11329852
73000, 0.035985213, 0.12824702
74000, 0.037116304, 0.11703356
75000, 0.037661392, 0.15667105
76000, 0.036469962, 0.13352779
77000, 0.03641106, 0.16116886
78000, 0.03714238, 0.11945208
79000, 0.03655365, 0.110617675
80000, 0.037184253, 0.1059139
81000, 0.037180975, 0.07757445
82000, 0.036645565, 0.1645365
83000, 0.03731002, 0.1029794
84000, 0.038187224, 0.08823152
85000, 0.036924187, 0.07746964
86000, 0.036757007, 0.17370978
87000, 0.036291976, 0.11344243
88000, 0.036531396, 0.0690837
89000, 0.037155595, 0.07786471
90000, 0.03640135, 0.09502646
91000, 0.0367554, 0.09390167
92000, 0.035674337, 0.14801224
93000, 0.03622589, 0.3558588
94000, 0.036229853, 0.17769954
95000, 0.03694056, 0.151486
96000, 0.036862515, 0.18757749
97000, 0.036643293, 0.084779166
98000, 0.036694393, 0.0815588
99000, 0.035915837, 0.088718854
100000, 0.03580282, 0.1454005
101000, 0.036457047, 0.08150339
102000, 0.0358967, 0.28891894
103000, 0.035981447, 0.098824725
104000, 0.0355437, 0.23802844
105000, 0.035384037, 0.10206748
106000, 0.03502727, 0.10564927
107000, 0.035273585, 0.092448615
108000, 0.0349953, 0.3064209
109000, 0.035505287, 0.22759318
110000, 0.034835324, 0.1869063
111000, 0.03669097, 0.17431183
112000, 0.036100186, 0.092038676
113000, 0.034974672, 0.18392883
114000, 0.035627343, 0.28218088
115000, 0.03720216, 0.4999909
116000, 0.03963742, 0.4148269
117000, 0.03865465, 0.17954479
118000, 0.039987627, 0.15984309
119000, 0.037720274, 0.15490846
120000, 0.03660586, 0.11758028
121000, 0.037168164, 0.16299589
122000, 0.038286604, 0.12881039
123000, 0.03754956, 0.18312748
124000, 0.036595408, 0.2763769
125000, 0.03842786, 0.23564157
126000, 0.037112106, 0.14070436
127000, 0.035305243, 0.16781715
128000, 0.035726484, 0.31538606
129000, 0.035927158, 0.14192791
130000, 0.037022736, 0.1390531
131000, 0.03626293, 0.111548886
132000, 0.035391822, 0.13691112
133000, 0.03473758, 0.2905428
134000, 0.035434663, 0.09038076
135000, 0.036073003, 0.18180564
136000, 0.037619255, 0.15413901
137000, 0.03535869, 0.09003618
138000, 0.035251252, 0.09078007
139000, 0.036929704, 0.2440317
140000, 0.035287254, 0.20328835
141000, 0.03632746, 0.31731626
142000, 0.036454786, 0.112685956
143000, 0.03551158, 0.14711666
144000, 0.035185996, 0.268844
145000, 0.035187542, 0.17217779
146000, 0.035209395, 0.2176454
147000, 0.035343837, 0.38663706
148000, 0.036430914, 0.20973863
149000, 0.036512125, 0.107200354
150000, 0.034932364, 0.08429552
151000, 0.034781665, 0.27815738
152000, 0.03506892, 0.14707825
153000, 0.03385784, 0.13767226
154000, 0.034379683, 0.20529932
155000, 0.034016334, 0.23891318
156000, 0.034052953, 0.23042244
157000, 0.03431162, 0.13490078
158000, 0.034429424, 0.10578348
159000, 0.03454645, 0.24730277
160000, 0.033280384, 0.09986282
161000, 0.033995647, 0.13565919
162000, 0.03490597, 0.11709489
163000, 0.033644963, 0.3007188
164000, 0.035000835, 0.114867814
165000, 0.033581924, 0.16175462
166000, 0.0336336, 0.3599974
167000, 0.032619655, 0.12340409
168000, 0.034936808, 0.31696683
169000, 0.034658927, 0.19810015
170000, 0.03548869, 0.36732772
171000, 0.0355911, 0.31685936
172000, 0.03818278, 0.62170994
173000, 0.037687667, 0.50405717
174000, 0.044188034, 0.6480517
175000, 0.045825012, 0.4837439
176000, 0.045881964, 0.477676
177000, 0.04581186, 0.48614573
178000, 0.04657056, 0.39952698
179000, 0.04504685, 0.3996708
180000, 0.044266444, 0.37221783
181000, 0.046015237, 3.4360485
182000, 0.052760903, 5.905831
183000, 0.049321774, 1.1224741
184000, 0.046260525, 0.37178856
185000, 0.04733318, 0.48438302
186000, 0.045690943, 0.7978316
187000, 0.045007817, 0.35335284
188000, 0.04397222, 0.765816
189000, 0.04333201, 0.32506686
190000, 0.044888448, 1.7555244
191000, 0.045117255, 2.122831
192000, 0.04415911, 1.4827958
193000, 0.04526012, 0.5359633
194000, 0.045521125, 1.644846
195000, 0.044515446, 0.44248554
196000, 0.042940225, 0.41649294
197000, 0.04185236, 0.5317039
198000, 0.0442571, 0.66551363
199000, 0.04240215, 0.25912642
200000, 0.04278903, 0.23565425
