gamesPlayed,averageTDError,weightDelta
1000, 0.033222847, 1.5754787
2000, 0.035166364, 1.021494
3000, 0.035793774, 0.9432598
4000, 0.03674611, 0.8851986
5000, 0.037706085, 0.8276079
6000, 0.038555894, 0.72585815
7000, 0.039089117, 0.678494
8000, 0.03609763, 0.6225334
9000, 0.03566853, 0.5759119
10000, 0.0365957, 0.45889136
11000, 0.037152037, 0.48788685
12000, 0.038514007, 0.455
13000, 0.03912111, 0.4513887
14000, 0.036406737, 0.4080232
15000, 0.037787393, 0.39998767
16000, 0.038083833, 0.37857392
17000, 0.030458651, 1.6076843
18000, 0.028462475, 0.70014715
19000, 0.02788967, 0.7385068
20000, 0.027087897, 1.7314832
21000, 0.02783382, 5.61423
22000, 0.037757535, 1.3965623
23000, 0.041358326, 0.9488483
24000, 0.04328944, 0.77887267
25000, 0.043596644, 0.69007915
26000, 0.044051345, 0.85591775
27000, 0.042877484, 0.7353718
28000, 0.04089556, 0.70360845
29000, 0.039510522, 0.677723
30000, 0.03946783, 0.6699774
31000, 0.03631136, 0.8027606
32000, 0.034857053, 0.9058877
33000, 0.034042865, 0.7829177
34000, 0.032649633, 0.60098475
35000, 0.031724487, 0.5051372
36000, 0.033511907, 0.4799947
37000, 0.03508903, 0.4794698
38000, 0.035427388, 0.3553892
39000, 0.034752306, 0.46727082
40000, 0.03610395, 0.66744167
41000, 0.03613325, 0.5089233
42000, 0.036925793, 0.2710633
43000, 0.03767923, 0.5091979
44000, 0.037263617, 0.26022786
45000, 0.03706616, 0.33271167
46000, 0.03827015, 0.21721888
47000, 0.037877716, 0.29821622
48000, 0.03752075, 0.26401553
49000, 0.03860048, 0.29752374
50000, 0.039822277, 0.26854727
51000, 0.040620312, 0.50266296
52000, 0.048368603, 0.53142977
53000, 0.045435943, 1.7933531
54000, 0.03673526, 0.33420727
55000, 0.031898163, 0.429522
56000, 0.031793088, 0.36029866
57000, 0.032883763, 0.39475083
58000, 0.032490496, 0.22992902
59000, 0.03056774, 0.32262346
60000, 0.030256076, 0.5578385
61000, 0.029743062, 0.18666893
62000, 0.031370845, 0.2691017
63000, 0.030209588, 0.24332641
64000, 0.030739812, 0.612946
65000, 0.031924147, 0.39435765
66000, 0.031583134, 0.85830593
67000, 0.029021896, 0.35995352
68000, 0.03211595, 0.15346077
69000, 0.03175405, 0.4094164
70000, 0.030036613, 0.30352688
71000, 0.03086171, 0.6415647
72000, 0.030282265, 0.6032245
73000, 0.030747341, 0.3892318
74000, 0.029427987, 0.2193982
75000, 0.030671127, 0.7843921
76000, 0.029812315, 0.32233116
77000, 0.031659387, 0.6648187
78000, 0.030507997, 0.24891962
79000, 0.030779542, 0.29552874
80000, 0.028165089, 0.8455746
81000, 0.025348276, 0.5367182
82000, 0.02612309, 1.2635225
83000, 0.027582053, 0.41736877
84000, 0.02626227, 0.6203502
85000, 0.028440768, 0.5942832
86000, 0.028706336, 0.79348475
87000, 0.02715664, 0.14993186
88000, 0.028630475, 0.24389479
89000, 0.028288627, 0.8342736
90000, 0.02903356, 0.17995937
91000, 0.028578503, 0.225984
92000, 0.02743019, 0.1582645
93000, 0.029136093, 1.183753
94000, 0.028506754, 0.4125173
95000, 0.028607689, 0.73855805
96000, 0.02841956, 0.26903826
97000, 0.027706088, 0.21881065
98000, 0.027924757, 1.2531594
99000, 0.02861194, 1.038053
100000, 0.033497363, 0.8831325
101000, 0.032146487, 0.2842644
102000, 0.030936187, 0.29113647
103000, 0.03372871, 0.4803521
104000, 0.031840634, 0.55069196
105000, 0.033714317, 0.65045464
106000, 0.0322045, 0.58559966
107000, 0.032713387, 0.6085902
108000, 0.030440487, 0.21277781
109000, 0.028914876, 0.4063955
110000, 0.029754285, 0.14582072
111000, 0.031687595, 0.18408887
112000, 0.029775754, 0.19031058
113000, 0.03359969, 0.34688288
114000, 0.03193594, 0.20442848
115000, 0.031923257, 0.33411634
116000, 0.030293709, 0.27609512
117000, 0.032673106, 0.17032336
118000, 0.031005435, 0.22811686
119000, 0.030929383, 0.31015158
120000, 0.03289825, 0.22157547
121000, 0.03171172, 0.6535238
122000, 0.02876627, 0.21098982
123000, 0.033710916, 0.65010893
124000, 0.032961685, 0.24785946
125000, 0.033427387, 0.27294642
126000, 0.033334125, 0.19847915
127000, 0.029677538, 0.52238524
128000, 0.03023625, 0.836069
129000, 0.033139125, 0.22228183
130000, 0.031479485, 0.3256222
131000, 0.032022882, 0.26940736
132000, 0.032723453, 0.27488288
133000, 0.03278651, 0.50279903
134000, 0.033030353, 0.18063307
135000, 0.031782396, 0.31393155
136000, 0.032550756, 0.3711886
137000, 0.030219754, 0.19879927
138000, 0.030981256, 0.7331532
139000, 0.031230226, 0.7923143
140000, 0.03184475, 0.1636412
141000, 0.033281203, 0.15189123
142000, 0.030402806, 0.15168066
143000, 0.031270258, 0.17867185
144000, 0.029396567, 1.3152204
145000, 0.02929133, 1.2387335
146000, 0.029308138, 0.17665482
147000, 0.029464811, 0.33239797
148000, 0.02883172, 0.5127106
149000, 0.030876242, 0.21408352
150000, 0.029272212, 0.3179074
151000, 0.030753184, 0.17108342
152000, 0.033508435, 0.28787336
153000, 0.03268115, 0.46729
154000, 0.03199317, 0.20369563
155000, 0.029560443, 0.31688532
156000, 0.03138764, 0.4099364
157000, 0.031618427, 0.37718293
158000, 0.029755667, 0.3382876
159000, 0.021599993, 0.7622237
160000, 0.022510061, 0.32619077
161000, 0.022027588, 1.0138901
162000, 0.022004947, 0.3909407
163000, 0.022241883, 0.6483912
164000, 0.0220523, 1.225916
165000, 0.022598917, 1.5971385
166000, 0.021294534, 0.6835426
167000, 0.021302892, 0.5732275
168000, 0.022417739, 0.20306979
169000, 0.021280598, 2.358002
170000, 0.024137031, 2.7463973
171000, 0.021381838, 2.0331
172000, 0.02424598, 3.2709808
173000, 0.026338864, 1.528534
174000, 0.024220528, 0.9051311
175000, 0.023239972, 1.3416854
176000, 0.023848481, 1.8571544
177000, 0.023621656, 2.1173413
178000, 0.024140052, 1.6494989
179000, 0.025087198, 0.9108037
180000, 0.026314717, 0.19029503
181000, 0.025126182, 0.2659826
182000, 0.026057368, 0.56662065
183000, 0.026114425, 0.24832247
184000, 0.02407957, 0.2992032
185000, 0.026388869, 0.43838495
186000, 0.024827292, 0.33203003
187000, 0.02605356, 0.87951845
188000, 0.023680134, 0.65027493
189000, 0.025100457, 0.7102134
190000, 0.023940522, 0.20658156
191000, 0.024686677, 1.2758667
192000, 0.023141209, 1.2303011
193000, 0.023961382, 0.54909664
194000, 0.023644527, 1.0843003
195000, 0.024709174, 0.73514193
196000, 0.022563204, 1.2127727
197000, 0.024526233, 1.3223033
198000, 0.024973996, 0.7008193
199000, 0.025023714, 0.18232657
200000, 0.026044132, 2.087322
