gamesPlayed,averageTDError,weightDelta
1000, 0.027423153, 1.1634026
2000, 0.034915015, 0.92852134
3000, 0.03691022, 0.89889514
4000, 0.038131244, 0.87467515
5000, 0.039926544, 0.7006177
6000, 0.04064344, 0.5160706
7000, 0.041554682, 0.4519409
8000, 0.04134763, 0.4838256
9000, 0.041463695, 0.5229942
10000, 0.04113007, 0.4616553
11000, 0.04401932, 0.44748193
12000, 0.044128194, 0.3401447
13000, 0.04537537, 0.31133297
14000, 0.045997553, 0.3326737
15000, 0.046358183, 0.29085898
16000, 0.04751121, 0.34412122
17000, 0.0459787, 0.2873155
18000, 0.04801277, 0.2909048
19000, 0.0479198, 0.24751869
20000, 0.04743305, 0.28174242
21000, 0.04705794, 0.2339339
22000, 0.046801344, 0.23211879
23000, 0.04676312, 0.2515961
24000, 0.04776533, 0.2328959
25000, 0.047244504, 0.23423846
26000, 0.04723342, 0.26197752
27000, 0.047331072, 0.26761782
28000, 0.04769847, 0.2375082
29000, 0.047539733, 0.21697555
30000, 0.046619665, 0.23835462
31000, 0.04736392, 0.30683416
32000, 0.045590933, 0.31770977
33000, 0.045364078, 0.32176173
34000, 0.047131844, 0.19904725
35000, 0.04618766, 0.22322229
36000, 0.045257792, 0.2454433
37000, 0.044707343, 0.298442
38000, 0.044936698, 0.20873044
39000, 0.044982627, 0.17737156
40000, 0.046524636, 0.24130134
41000, 0.04426312, 0.38449937
42000, 0.043469228, 0.4211728
43000, 0.045591272, 0.21422386
44000, 0.04534116, 0.20063633
45000, 0.043258402, 0.823481
46000, 0.04424489, 0.58449614
47000, 0.040449783, 0.4163434
48000, 0.042347603, 0.22100578
49000, 0.043227363, 0.19909744
50000, 0.042991858, 0.19555524
51000, 0.039899264, 0.51425236
52000, 0.039785456, 0.7344316
53000, 0.04174666, 0.5247987
54000, 0.042148676, 0.49078763
55000, 0.042964622, 0.9371571
56000, 0.042328384, 0.40598854
57000, 0.04242689, 0.6258203
58000, 0.042020995, 0.56192875
59000, 0.040629275, 0.5776304
60000, 0.040111143, 0.32922143
61000, 0.036546394, 0.8091956
62000, 0.036426835, 0.26769018
63000, 0.036520913, 0.31625473
64000, 0.035091072, 0.3019529
65000, 0.036108702, 0.8009685
66000, 0.03698469, 0.24850231
