gamesPlayed,averageTDError,weightDelta
1000, 0.024102107, 1.096947
2000, 0.03226748, 0.47346595
3000, 0.033696365, 0.34638563
4000, 0.034714162, 0.31434214
5000, 0.036219016, 0.27223736
6000, 0.038130343, 0.49197072
7000, 0.039919373, 0.49862534
8000, 0.04165249, 0.4117188
9000, 0.043016355, 0.35549435
10000, 0.043732706, 0.27890426
11000, 0.043439206, 0.2661667
12000, 0.042961612, 0.26376554
13000, 0.042436488, 0.2695987
14000, 0.042201385, 0.27047792
15000, 0.042813074, 0.20899212
16000, 0.042229585, 0.26489282
17000, 0.041424274, 0.24327436
18000, 0.041586395, 0.19854248
19000, 0.041768745, 0.20761243
20000, 0.04239672, 0.23142408
21000, 0.042569883, 0.19954959
22000, 0.042069018, 0.19328403
23000, 0.041596465, 0.18782428
24000, 0.041140657, 0.2289927
25000, 0.0410311, 0.19425187
26000, 0.040716927, 0.2327584
27000, 0.04110519, 0.19390257
28000, 0.04063468, 0.15780878
29000, 0.040160283, 0.22820595
30000, 0.04023582, 0.14868867
31000, 0.03949619, 0.21012518
32000, 0.037817225, 0.14448398
33000, 0.037769496, 0.24630661
34000, 0.038641978, 0.15031959
35000, 0.038771313, 0.13332844
36000, 0.038559284, 0.12756547
37000, 0.038998015, 0.16878363
38000, 0.039307438, 0.12765329
39000, 0.0383506, 0.13312232
40000, 0.03744893, 0.15226188
41000, 0.03815585, 0.16207403
42000, 0.038521178, 0.1255737
43000, 0.037875067, 0.09237616
44000, 0.037417922, 0.13268554
45000, 0.0377488, 0.12721485
46000, 0.037847843, 0.11854178
47000, 0.037475735, 0.12608075
48000, 0.037473727, 0.17742428
49000, 0.037672732, 0.15426752
50000, 0.03719263, 0.19363496
51000, 0.037415743, 0.20071493
52000, 0.03712679, 0.13860601
53000, 0.037261356, 0.22225977
54000, 0.03827657, 0.19921392
55000, 0.039115824, 0.12778555
56000, 0.037345305, 0.14343591
57000, 0.03789881, 0.14026277
58000, 0.037111398, 0.10861901
59000, 0.037707508, 0.21227887
60000, 0.037623957, 0.21398269
61000, 0.03777042, 0.082138605
62000, 0.037310205, 0.26868084
63000, 0.038302317, 0.13529886
64000, 0.038128506, 0.10542048
65000, 0.03782947, 0.13430564
66000, 0.037974596, 0.29653117
67000, 0.038558215, 0.2849621
68000, 0.03869452, 0.16700813
69000, 0.03898375, 0.237345
70000, 0.038141385, 0.31506506
71000, 0.039172262, 0.12875381
72000, 0.039153997, 0.15559849
73000, 0.039044525, 0.17477904
74000, 0.039213788, 0.12669323
75000, 0.03973755, 0.11215002
76000, 0.040007424, 0.13106892
77000, 0.040026806, 0.12993665
78000, 0.039362546, 0.09652703
79000, 0.03897325, 0.10214777
80000, 0.039288424, 0.13303448
81000, 0.039824147, 0.18248597
82000, 0.038329404, 0.3297963
83000, 0.04132639, 0.14186613
84000, 0.041900303, 0.1689042
85000, 0.04159045, 0.23802376
86000, 0.039889734, 0.2008704
87000, 0.040333666, 0.18953443
88000, 0.040227078, 0.15260822
89000, 0.04047948, 0.13583553
90000, 0.039953202, 0.14563331
91000, 0.041000646, 0.18716095
92000, 0.04128775, 0.16767056
93000, 0.04124895, 0.16843289
94000, 0.043245032, 0.26635122
95000, 0.04322378, 0.2755552
96000, 0.043002386, 0.21601216
97000, 0.04439592, 0.17006646
98000, 0.04398277, 0.23878177
99000, 0.04216272, 0.18785097
100000, 0.043335076, 0.17160447
101000, 0.042024918, 0.23777291
102000, 0.043623276, 0.2166833
103000, 0.044476293, 0.20030397
104000, 0.043697413, 0.20261602
105000, 0.043546807, 0.15856126
106000, 0.04436748, 0.24850403
107000, 0.042180654, 0.18036322
108000, 0.042041514, 0.28042644
109000, 0.04339329, 0.30512443
110000, 0.042491503, 0.25831798
111000, 0.042417787, 0.2168791
112000, 0.042824425, 0.33749464
113000, 0.04191084, 0.29819128
114000, 0.042471316, 0.2892398
115000, 0.045162577, 1.3983468
116000, 0.050342645, 1.285532
117000, 0.04664949, 0.74014497
118000, 0.04601125, 0.3427014
119000, 0.044322174, 0.9193295
120000, 0.044655018, 1.1173803
121000, 0.046053834, 1.4905213
122000, 0.043399487, 0.5415612
123000, 0.042634245, 1.1199354
124000, 0.04215636, 0.33741456
125000, 0.04124972, 0.586727
126000, 0.043523263, 0.66004014
127000, 0.04135409, 0.5751199
128000, 0.04222366, 0.95857245
129000, 0.041741267, 0.27627105
130000, 0.040044364, 1.1845868
131000, 0.040067088, 0.9982097
132000, 0.04071457, 0.97810704
133000, 0.040954396, 0.8099228
134000, 0.040133785, 0.41088915
135000, 0.04099342, 0.5143304
136000, 0.039919145, 2.2796779
137000, 0.041655507, 1.6337483
138000, 0.045960344, 0.76930434
139000, 0.049305033, 2.6342604
140000, 0.05135957, 0.99479055
141000, 0.05057608, 0.95861006
142000, 0.049319852, 1.0829144
143000, 0.052686706, 2.05288
144000, 0.052574284, 0.48343107
145000, 0.05110421, 0.6255067
146000, 0.051247228, 1.0523582
147000, 0.049480155, 0.3424617
148000, 0.048565477, 1.9534203
149000, 0.04888661, 1.063839
150000, 0.050770003, 2.0171175
151000, 0.04951641, 0.3738932
152000, 0.04990056, 0.3248791
153000, 0.0484595, 0.76455086
154000, 0.047403708, 1.4500686
155000, 0.04735905, 2.3388946
156000, 0.05190538, 1.6886379
157000, 0.049159236, 1.3500847
158000, 0.04801805, 0.9318098
159000, 0.048102703, 0.31914958
160000, 0.047106907, 0.90257514
161000, 0.045811266, 0.46353212
162000, 0.046058774, 1.0228531
163000, 0.045354046, 0.6676169
164000, 0.04643292, 0.65502036
165000, 0.04492919, 2.6781945
166000, 0.05085349, 1.0483495
167000, 0.050233904, 2.0645437
168000, 0.05010282, 2.320511
169000, 0.048670605, 2.066192
170000, 0.046279673, 0.5720179
171000, 0.045851804, 1.207804
172000, 0.046122007, 0.8977262
173000, 0.04567664, 0.6756498
174000, 0.047021717, 2.132305
175000, 0.050301235, 0.5841361
176000, 0.048284862, 2.5093875
177000, 0.04200637, 3.158309
178000, 0.028998157, 1.0207025
179000, 0.03188599, 1.020407
180000, 0.024419088, 0.6744459
181000, 0.027586835, 0.39508295
182000, 0.027105883, 0.26107106
183000, 0.028510649, 0.27040163
184000, 0.026142025, 0.23210244
185000, 0.02700903, 0.25427744
186000, 0.023784764, 0.24670729
187000, 0.025348501, 0.3223856
188000, 0.02544665, 0.1981838
189000, 0.024852438, 0.19189627
190000, 0.023663888, 0.15161072
191000, 0.02524044, 0.23126462
192000, 0.033398207, 2.7610185
193000, 0.034561347, 3.988078
194000, 0.03607793, 1.3296328
195000, 0.036575362, 0.38341895
196000, 0.03676523, 0.4060227
197000, 0.03763447, 0.58028215
198000, 0.037432034, 0.38366786
199000, 0.037251387, 0.42522952
200000, 0.03628495, 1.0629364
