gamesPlayed,averageTDError,weightDelta
1000, 0.035731595, 1.146897
2000, 0.036632553, 0.7787809
3000, 0.035766818, 0.7861539
4000, 0.03741809, 0.5527784
5000, 0.03943339, 0.3893363
6000, 0.04143461, 0.3549187
7000, 0.042078458, 0.32396534
8000, 0.04248068, 0.30780685
9000, 0.0442698, 0.25939506
10000, 0.044283547, 0.24548028
11000, 0.043766964, 0.21816199
12000, 0.04321186, 0.22106147
13000, 0.042569257, 0.26653606
14000, 0.042152014, 0.27078128
15000, 0.041070078, 0.26078546
16000, 0.040181514, 0.24351862
17000, 0.040015787, 0.24821186
18000, 0.039395317, 0.22275694
19000, 0.03931044, 0.2094829
20000, 0.037787065, 0.2807177
21000, 0.037913796, 0.25932506
22000, 0.036614664, 0.25350797
23000, 0.03618519, 0.19331232
24000, 0.03607094, 0.18367055
25000, 0.036000688, 0.18930365
26000, 0.03524234, 0.18712506
27000, 0.03479128, 0.2081478
28000, 0.03400481, 0.1781809
29000, 0.033833653, 0.17063221
30000, 0.03394456, 0.16116916
31000, 0.033480022, 0.16123433
32000, 0.0339189, 0.15451302
33000, 0.03373638, 0.16970275
34000, 0.03438556, 0.20200224
35000, 0.03351775, 0.19226478
36000, 0.033530686, 0.16436456
37000, 0.033658836, 0.31748366
38000, 0.032119323, 0.21898945
39000, 0.033123367, 0.17407392
40000, 0.032911155, 0.1393366
41000, 0.0320708, 0.17084092
42000, 0.033183534, 0.1502737
43000, 0.032789174, 0.16162728
44000, 0.03295291, 0.13647968
45000, 0.032488246, 0.2039854
46000, 0.03204557, 0.16328405
47000, 0.032748073, 0.2150602
48000, 0.03200853, 0.38480937
49000, 0.031717222, 0.2510801
50000, 0.030643456, 0.1138905
51000, 0.031251825, 0.123121604
52000, 0.030987319, 0.13186322
53000, 0.031177383, 0.15067014
54000, 0.030809477, 0.110083446
55000, 0.030158954, 0.28692892
56000, 0.029790178, 0.12420061
57000, 0.03000841, 0.2064372
58000, 0.030985463, 0.30549198
59000, 0.029803436, 0.14557475
60000, 0.030031094, 0.092978895
61000, 0.029713277, 0.116923034
62000, 0.029787282, 0.1496311
63000, 0.03067906, 0.1473067
64000, 0.029435918, 0.099158734
65000, 0.02924742, 0.14484009
66000, 0.0292381, 0.2437646
67000, 0.029770697, 0.21519569
68000, 0.028608868, 0.40271896
69000, 0.028795093, 0.32728693
70000, 0.029560702, 0.1814029
71000, 0.029398892, 0.31097174
72000, 0.029172381, 0.3091995
73000, 0.028617183, 0.3232366
74000, 0.028369019, 0.43373278
75000, 0.029372066, 0.10953442
76000, 0.028894106, 0.10522427
77000, 0.029314905, 0.37983185
78000, 0.028010547, 0.1607128
79000, 0.028834384, 0.21021378
80000, 0.028877292, 0.13653097
81000, 0.028695287, 0.086068146
82000, 0.02920992, 0.0902403
83000, 0.028103927, 0.23361191
84000, 0.02797297, 0.14370973
85000, 0.027901895, 0.16765215
86000, 0.02843337, 0.28643772
87000, 0.02962619, 0.34567043
88000, 0.028467799, 0.10514883
89000, 0.027749553, 0.21489067
90000, 0.02732171, 0.11388466
91000, 0.0274138, 0.13134564
92000, 0.028349573, 0.3305052
93000, 0.027533483, 0.24082467
94000, 0.028133167, 0.15169023
95000, 0.028080909, 0.07118671
96000, 0.027868945, 0.15374795
97000, 0.027634071, 0.2018116
98000, 0.028961973, 0.15243082
99000, 0.027538853, 0.15083168
100000, 0.027549513, 0.08862106
101000, 0.028443137, 0.111756325
102000, 0.027137583, 0.16741066
103000, 0.02791345, 0.37563357
104000, 0.02728935, 0.4309291
105000, 0.028999124, 0.24946132
106000, 0.02799248, 0.23371157
107000, 0.027548715, 0.45291224
108000, 0.027360251, 0.35014358
109000, 0.027296178, 0.27414387
110000, 0.027632706, 0.111229986
111000, 0.02767115, 0.19355471
112000, 0.028537096, 0.105642624
113000, 0.02782374, 0.2756048
114000, 0.02705934, 0.5060175
115000, 0.027914118, 0.19500792
116000, 0.02783765, 0.5318425
117000, 0.028132599, 0.31357428
118000, 0.0289082, 0.46435285
119000, 0.029961836, 0.22882234
120000, 0.029643256, 0.14667165
121000, 0.029352387, 0.22881971
122000, 0.030021349, 0.26676422
123000, 0.031939134, 0.2485728
124000, 0.031325348, 0.31381065
125000, 0.03134796, 0.87271804
126000, 0.03235015, 0.60770077
127000, 0.033544227, 0.5612564
128000, 0.03389792, 0.43261933
129000, 0.033384312, 0.9481553
130000, 0.031636525, 0.31968373
131000, 0.032533575, 0.40220726
132000, 0.03165082, 1.1072415
133000, 0.03121003, 0.26400596
134000, 0.029880794, 0.21936323
135000, 0.029850256, 0.22823933
136000, 0.030333567, 0.4283202
137000, 0.028941007, 0.26933172
138000, 0.029937744, 0.3683626
139000, 0.029803067, 0.28642777
140000, 0.029215742, 0.3248894
141000, 0.02862421, 0.4985045
142000, 0.028613187, 0.15118738
143000, 0.028348709, 0.5795995
144000, 0.031308427, 1.044538
145000, 0.032485936, 0.53468496
146000, 0.03234179, 0.49649742
147000, 0.032489527, 0.2661188
148000, 0.033999693, 0.26431182
149000, 0.03376606, 0.3468281
150000, 0.0336243, 0.3239121
151000, 0.032644425, 0.3565039
152000, 0.03469995, 0.29439792
153000, 0.033464193, 0.22395356
154000, 0.033065222, 0.37165257
155000, 0.03369488, 0.2514437
156000, 0.033463214, 0.26435792
157000, 0.033725694, 0.23376761
158000, 0.0345224, 0.2691602
159000, 0.03397415, 0.20096542
160000, 0.03388354, 0.23821788
161000, 0.034863807, 0.2638639
162000, 0.035719495, 0.26398268
163000, 0.03491589, 0.22731917
164000, 0.03683062, 0.27965796
165000, 0.036516625, 0.28704017
166000, 0.036331818, 0.49750298
167000, 0.03687773, 0.33203375
168000, 0.040607568, 0.4109309
169000, 0.039083797, 0.4100918
170000, 0.035091527, 0.84555846
171000, 0.03619698, 0.38347566
172000, 0.03510069, 0.32268363
173000, 0.045366984, 2.045751
174000, 0.050820887, 5.015744
175000, 0.048419442, 2.528591
176000, 0.045635685, 1.3040538
177000, 0.045428682, 0.9044918
178000, 0.04243145, 0.6806354
179000, 0.04394979, 1.6622549
180000, 0.041929167, 0.67244285
181000, 0.041567724, 0.5527951
182000, 0.04270469, 1.1278806
183000, 0.041427396, 0.53711855
184000, 0.040206145, 0.4737804
185000, 0.041548, 1.2849643
186000, 0.040529568, 0.71460843
187000, 0.040063117, 0.8417904
188000, 0.041495837, 0.878448
189000, 0.04222378, 0.64842516
190000, 0.043451786, 1.9244295
191000, 0.04310104, 0.48453718
192000, 0.043261413, 0.5047773
193000, 0.042073436, 1.0154815
194000, 0.042441282, 0.445691
195000, 0.04335077, 0.6786922
196000, 0.04395733, 0.79345465
197000, 0.044811714, 0.75635654
198000, 0.043019265, 1.0245211
199000, 0.044015966, 0.794183
200000, 0.043510467, 0.4368399
201000, 0.039590783, 0.5288562
202000, 0.04040708, 0.31304267
203000, 0.04023883, 1.4418846
204000, 0.040801585, 0.4656401
205000, 0.041822255, 1.7125559
206000, 0.04021831, 1.8148535
207000, 0.04010783, 0.40414837
208000, 0.04157447, 0.9712442
209000, 0.04104451, 0.8268445
210000, 0.04124653, 0.4263155
211000, 0.040063355, 0.74166054
212000, 0.03750406, 0.4987955
213000, 0.037941564, 0.90102077
214000, 0.036665928, 0.9514967
215000, 0.034735378, 0.9760915
216000, 0.035741575, 0.8266735
217000, 0.034898303, 0.55572
218000, 0.03362962, 0.6018006
219000, 0.03385097, 0.6592233
220000, 0.032466386, 5.698421
221000, 0.03559406, 1.3567193
222000, 0.03260328, 0.8121787
223000, 0.031865213, 0.70022786
224000, 0.029362394, 0.54074985
225000, 0.028555928, 0.5119341
226000, 0.026768379, 0.96214885
227000, 0.027042693, 0.63479877
228000, 0.026204204, 1.1905234
229000, 0.027797358, 0.74858135
230000, 0.02787507, 1.9914347
231000, 0.027570872, 1.5856674
232000, 0.02771028, 2.7312512
233000, 0.026475452, 10.55863
234000, 0.031630393, 3.3595889
235000, 0.032278817, 0.60414135
236000, 0.028647179, 0.53511345
237000, 0.026076654, 0.43847215
238000, 0.022842173, 0.39471173
239000, 0.015539789, 17.076944
240000, 0.012933262, 2.8674347
241000, 0.01029086, 0.441718
242000, 0.0075611304, 0.45462623
243000, 0.0054173945, 0.31098348
244000, 0.007258809, 0.14227323
245000, 0.012039318, 0.035289854
246000, 0.017935477, 0.33405212
247000, 0.023709439, 0.6552094
248000, 0.029587243, 0.6724393
249000, 0.034317087, 2.1441166
250000, 0.02925342, 0.5637428
251000, 0.030929768, 1.7427111
252000, 0.03377266, 0.8539511
253000, 0.023514496, 1.0233413
254000, 0.017705867, 0.20542651
255000, 0.017094089, 0.26838788
256000, 0.017826874, 0.20331535
257000, 0.017290255, 0.47327626
258000, 0.014215095, 0.36004803
259000, 0.01588457, 0.45376262
260000, 0.010805632, 0.011082738
261000, 0.0083295265, 0.39262426
262000, 0.011889175, 0.19656576
263000, 0.012792121, 0.067730986
264000, 0.011957803, 0.06959877
265000, 0.011491946, 0.040575895
266000, 0.009525294, 0.03633469
267000, 0.0111166155, 0.08464688
268000, 0.014124854, 1.5381545
269000, 0.011722658, 3.9950423
270000, 0.011133747, 2.9076319
271000, 0.014486607, 0.17286023
272000, 0.014465094, 0.38302052
273000, 0.01612648, 0.32232633
274000, 0.01861095, 0.29609814
275000, 0.01820681, 0.3774494
276000, 0.017114067, 0.1291453
277000, 0.017821666, 0.26590472
278000, 0.015689772, 0.20245168
279000, 0.015275702, 0.043907627
280000, 0.014748281, 0.38181826
281000, 0.016028775, 0.36696678
282000, 0.016103417, 0.12583762
283000, 0.016787002, 0.25033155
284000, 0.015619757, 0.19313143
285000, 0.01648953, 0.4631892
286000, 0.014185456, 0.25739855
287000, 0.015871327, 0.2652429
288000, 0.014216805, 0.29184717
289000, 0.016670004, 0.1703553
290000, 0.01406265, 0.16939615
291000, 0.013861262, 0.27837297
292000, 0.014872414, 0.23225173
293000, 0.014198882, 0.38910756
294000, 0.014580108, 0.1842483
295000, 0.013813105, 0.30889446
296000, 0.013995988, 0.2866431
297000, 0.016366828, 0.34642565
298000, 0.014446286, 0.0049584717
299000, 0.014484831, 0.29390234
300000, 0.014571363, 0.2618609
301000, 0.014364717, 0.331389
302000, 0.014683285, 0.03422297
303000, 0.013291874, 0.06515793
304000, 0.013424886, 0.40318474
305000, 0.013206729, 0.07176363
306000, 0.0139150545, 0.09326475
307000, 0.013987271, 0.06312315
308000, 0.013788202, 0.016194845
309000, 0.014126842, 0.1562997
310000, 0.013664693, 0.049153455
311000, 0.0139126675, 0.16699971
312000, 0.012660176, 0.13201135
313000, 0.013071722, 0.2562544
314000, 0.013823483, 0.28279617
315000, 0.012978477, 0.11024816
316000, 0.01369932, 0.22529256
317000, 0.01402187, 0.1924809
318000, 0.014197856, 0.19540568
319000, 0.013498456, 0.21525872
320000, 0.013963862, 0.015695337
321000, 0.014046251, 0.37497196
322000, 0.0128648635, 0.4240593
323000, 0.01440996, 0.43233567
324000, 0.013936444, 0.39854136
325000, 0.013668873, 0.046171073
326000, 0.013709754, 0.27324894
327000, 0.014352671, 0.2665596
328000, 0.0146087585, 0.0902529
329000, 0.013928083, 0.16979705
330000, 0.015133295, 0.34464553
331000, 0.013974598, 0.39313316
332000, 0.014012154, 0.26468143
333000, 0.014131996, 0.019907447
334000, 0.01389863, 0.011771418
335000, 0.013327975, 0.1685735
336000, 0.012884497, 0.020323353
337000, 0.014125436, 0.38623622
338000, 0.014468964, 0.04886759
339000, 0.015933296, 0.084824555
340000, 0.014128618, 0.045363683
341000, 0.014252867, 0.24894314
342000, 0.014252614, 0.2179749
343000, 0.014540961, 0.011647318
344000, 0.014558202, 0.013785504
345000, 0.015216985, 0.17704266
346000, 0.013707462, 0.21080174
347000, 0.014261895, 0.29326388
348000, 0.014499899, 0.17208165
349000, 0.013621452, 0.22003992
350000, 0.01568195, 0.056537423
351000, 0.014388791, 0.0715084
352000, 0.014587752, 0.12936209
353000, 0.014250396, 0.12505262
354000, 0.014565165, 0.18049228
355000, 0.013981261, 0.19096975
356000, 0.014722335, 0.025739795
357000, 0.013434183, 0.017260648
358000, 0.013245549, 0.108819865
359000, 0.014489506, 0.091451265
360000, 0.013699574, 0.32562804
361000, 0.013391749, 0.022091148
362000, 0.014123382, 0.34946057
363000, 0.013837856, 0.21560171
364000, 0.013065611, 0.24923363
365000, 0.014566604, 0.31667674
366000, 0.01320628, 0.346987
367000, 0.014337948, 0.22761166
368000, 0.014760165, 0.21052092
369000, 0.0149441175, 0.012251509
370000, 0.014111487, 0.2650729
371000, 0.013404296, 0.274726
372000, 0.013995238, 0.011928202
373000, 0.013309414, 0.027172312
374000, 0.014268652, 0.031363104
375000, 0.014420362, 0.3221929
