gamesPlayed,averageTDError,weightDelta
1000, 0.032610074, 1.5578444
2000, 0.034063518, 1.1005788
3000, 0.03507455, 0.91460496
4000, 0.036112428, 0.6702611
5000, 0.03669896, 0.59127235
6000, 0.035922036, 0.45407453
7000, 0.035197858, 0.42427072
8000, 0.035548512, 0.45066416
9000, 0.03619436, 0.34587383
10000, 0.034901127, 0.3385998
11000, 0.03612289, 0.32535732
12000, 0.03213189, 0.8979119
13000, 0.02897383, 1.0857481
14000, 0.028551064, 0.8104143
15000, 0.027557597, 0.57041323
16000, 0.02651262, 0.43166506
17000, 0.025930814, 0.30223298
18000, 0.025865072, 0.27599174
19000, 0.025690613, 0.31998092
20000, 0.025908375, 0.36032024
21000, 0.024602199, 0.39256984
22000, 0.026440827, 0.46243942
23000, 0.025577167, 0.2164271
24000, 0.02543486, 0.19248724
25000, 0.02596415, 0.62182325
26000, 0.027237045, 0.23753867
27000, 0.026623461, 0.18082929
28000, 0.02565622, 0.35225576
29000, 0.024885837, 0.16499408
30000, 0.024540624, 0.3445688
31000, 0.024191, 0.1712923
32000, 0.02402861, 0.14501107
33000, 0.023647368, 0.23921512
34000, 0.02310434, 0.24985887
35000, 0.023206715, 0.21293736
36000, 0.023246227, 0.22920856
37000, 0.023356253, 0.4904397
38000, 0.023796417, 0.25275746
39000, 0.023435585, 0.1509273
40000, 0.023233883, 0.19770333
41000, 0.023466345, 0.13321212
42000, 0.021893669, 0.17996845
43000, 0.022869231, 0.13624741
44000, 0.02284673, 0.40449297
45000, 0.023435565, 0.23594187
46000, 0.023817893, 0.15831222
47000, 0.023073522, 0.24610384
48000, 0.022891704, 0.17899981
49000, 0.023235803, 0.15534092
50000, 0.022800682, 0.111177556
51000, 0.022350904, 0.39032322
52000, 0.022613958, 0.14536422
53000, 0.02200408, 0.10562781
54000, 0.021834113, 0.314382
55000, 0.022135591, 0.25538972
56000, 0.021666706, 0.15929106
57000, 0.021418376, 0.43074647
58000, 0.021259025, 0.20751323
59000, 0.0215051, 0.3409106
60000, 0.021526268, 0.5287425
61000, 0.021072365, 0.27932745
62000, 0.020835582, 0.10310914
63000, 0.020739863, 0.10901827
64000, 0.02174108, 0.19571045
65000, 0.020234125, 0.08783726
66000, 0.020530628, 0.1073644
67000, 0.020827759, 0.14350025
68000, 0.021004392, 0.1666802
69000, 0.020290636, 0.3206406
70000, 0.019628726, 0.21628977
71000, 0.020490142, 0.41936976
72000, 0.02074281, 0.1036889
73000, 0.020338092, 0.17754573
74000, 0.020546246, 0.24912524
75000, 0.020064013, 0.17793791
76000, 0.020044412, 0.101347886
77000, 0.02026592, 0.14034341
78000, 0.020122455, 0.1432416
79000, 0.01978396, 0.09553615
80000, 0.019770332, 0.27265203
81000, 0.019767925, 0.12328449
82000, 0.019677322, 0.08859102
83000, 0.020116478, 0.12032877
84000, 0.020770727, 0.5371591
85000, 0.020318674, 0.16453508
86000, 0.019931536, 0.42392766
87000, 0.019661061, 0.12990153
88000, 0.01867731, 0.09506908
89000, 0.01926144, 0.3365598
90000, 0.019544633, 0.08906999
91000, 0.019462015, 0.6916968
92000, 0.019703642, 0.12949249
93000, 0.020165209, 0.5541908
94000, 0.020065146, 0.20086569
95000, 0.020714164, 0.44219774
96000, 0.019594265, 0.18819395
97000, 0.019753903, 0.30215326
98000, 0.01977925, 0.12697609
99000, 0.019459281, 0.093722574
100000, 0.019378588, 0.19369297
101000, 0.020383954, 0.10874865
102000, 0.020499138, 0.25331634
103000, 0.02064974, 0.11065294
104000, 0.020051427, 0.09496464
105000, 0.019895734, 0.24962978
106000, 0.019581567, 0.58040875
107000, 0.019375633, 0.15007617
108000, 0.019731402, 0.2533771
109000, 0.02021884, 0.69418854
110000, 0.020557612, 0.1832343
111000, 0.020827405, 0.39014125
112000, 0.02096623, 0.57243496
113000, 0.020860294, 0.12422612
114000, 0.021929871, 0.88779396
115000, 0.020643502, 0.70368934
116000, 0.020161718, 0.3576104
117000, 0.020166023, 0.49357027
118000, 0.021986574, 0.22673565
119000, 0.021749305, 0.2015681
120000, 0.02063567, 0.43707344
121000, 0.022776306, 0.34074193
122000, 0.022566138, 0.3616981
123000, 0.0213384, 0.18012476
124000, 0.022317845, 0.17885129
125000, 0.022218855, 0.5805403
126000, 0.022692097, 0.17575744
127000, 0.023735562, 0.20834689
128000, 0.024246767, 0.9251011
129000, 0.025572322, 0.20034732
130000, 0.025901157, 0.8898836
131000, 0.028661205, 1.1411675
132000, 0.036334056, 2.8074658
133000, 0.050160304, 1.1470988
134000, 0.051788755, 0.71597576
135000, 0.052940242, 0.65159106
136000, 0.056187592, 0.5488846
137000, 0.057207037, 0.681562
138000, 0.05527858, 0.50635844
139000, 0.055744734, 0.5435305
140000, 0.055851035, 0.40486395
141000, 0.055424765, 0.4350372
142000, 0.053505797, 0.32772887
143000, 0.05283646, 0.6342132
144000, 0.05213093, 0.6288274
145000, 0.051040757, 0.5679452
146000, 0.048631247, 0.7089494
147000, 0.04973691, 0.35748824
148000, 0.047765315, 0.35505646
149000, 0.048636265, 0.62997764
150000, 0.049733438, 0.71576494
151000, 0.053831372, 0.5754524
152000, 0.05199171, 0.32130715
153000, 0.051906224, 0.5875883
154000, 0.052323043, 0.7031034
155000, 0.053257786, 0.9188512
156000, 0.053680353, 1.2243311
157000, 0.052282665, 1.432011
158000, 0.05541954, 1.3632625
159000, 0.027101347, 3.2809646
160000, 0.04519229, 3.107125
161000, 0.05665302, 5.878677
162000, 0.05707953, 0.73553246
163000, 0.05259463, 1.1447598
164000, 0.048509482, 0.67591983
165000, 0.04769487, 1.3892816
166000, 0.047194608, 0.8406494
167000, 0.050066635, 0.9604205
168000, 0.047365166, 0.6750391
169000, 0.04431291, 1.5460918
170000, 0.04666381, 0.3996895
171000, 0.04675056, 0.64407426
172000, 0.046950288, 0.5018056
173000, 0.047990654, 0.63180757
174000, 0.043548763, 0.71935755
175000, 0.04440396, 1.3538877
176000, 0.044558004, 0.948522
177000, 0.041587252, 0.89385676
178000, 0.0422983, 0.6364516
179000, 0.043637395, 0.71954346
180000, 0.04187595, 1.8243442
181000, 0.04102479, 1.9559053
182000, 0.044425238, 2.0963907
183000, 0.047020275, 3.0121634
184000, 0.03836506, 1.582201
185000, 0.03546364, 0.51845044
186000, 0.044179477, 0.2861137
187000, 0.044030365, 0.26174524
188000, 0.0428944, 3.0078988
189000, 0.053008433, 8.594075
190000, 0.046831843, 0.5421904
191000, 0.04634749, 1.1364226
192000, 0.044582613, 1.1758065
193000, 0.0449358, 0.4288649
194000, 0.044767894, 0.28428355
195000, 0.042812183, 0.43735772
196000, 0.043863583, 0.44251326
197000, 0.04286613, 0.70295346
198000, 0.042690486, 0.4694358
199000, 0.04220184, 0.4832992
200000, 0.041529678, 0.3470745
201000, 0.04108435, 0.21986626
202000, 0.042110078, 0.6340702
203000, 0.04154122, 0.3207933
204000, 0.04048797, 0.30136514
205000, 0.04072913, 0.21548219
206000, 0.04139645, 0.31168303
207000, 0.0407688, 1.0900134
208000, 0.041445445, 0.28470132
209000, 0.03941822, 0.45615795
