gamesPlayed,averageTDError,weightDelta
1000, 0.031855386, 1.1444796
2000, 0.033761173, 0.5119446
3000, 0.03744047, 0.4285355
4000, 0.039372213, 0.4376929
5000, 0.039805844, 0.5252679
6000, 0.040683694, 0.52306575
7000, 0.04188707, 0.47391334
8000, 0.042378508, 0.5627823
9000, 0.041294403, 0.7099487
10000, 0.04308228, 0.72132975
11000, 0.044442635, 0.6257245
12000, 0.047252886, 0.6553271
13000, 0.04884547, 0.59082395
14000, 0.046784624, 0.50289327
15000, 0.045444347, 0.3589669
16000, 0.04514855, 0.31544688
17000, 0.044679098, 0.3812657
18000, 0.04412624, 0.30782643
19000, 0.043561194, 0.3090664
20000, 0.042854857, 0.30944675
21000, 0.04201254, 0.32610968
22000, 0.04274544, 0.24911512
23000, 0.041231252, 0.22688022
24000, 0.04150372, 0.16455673
25000, 0.041040797, 0.15271364
26000, 0.040680375, 0.15044414
27000, 0.04127411, 0.17041714
28000, 0.041846786, 0.23485005
29000, 0.039247375, 0.23329656
30000, 0.040301397, 0.35840377
31000, 0.04023765, 0.31305403
32000, 0.040812857, 0.31703636
33000, 0.041761257, 0.24275869
34000, 0.042198915, 0.24197763
35000, 0.04145177, 0.27156895
36000, 0.04253733, 0.21770932
37000, 0.040093075, 0.22782184
38000, 0.04254421, 0.18309012
39000, 0.043000482, 0.17884296
40000, 0.0430603, 0.20188493
41000, 0.04255285, 0.19135414
42000, 0.041597947, 0.2780398
43000, 0.04296931, 0.17062424
44000, 0.04411116, 0.1949623
45000, 0.04584712, 0.16485403
46000, 0.044644188, 0.25047615
47000, 0.044043574, 0.19240107
48000, 0.04568009, 0.25451237
49000, 0.045017913, 0.26082522
50000, 0.04787981, 0.3719005
51000, 0.048755545, 0.390064
52000, 0.051188685, 0.39865163
53000, 0.05344687, 0.3640072
54000, 0.055985775, 0.49742177
55000, 0.056210414, 0.24556945
56000, 0.056995552, 0.30073336
57000, 0.058099072, 0.19995807
58000, 0.059524797, 0.26968583
59000, 0.058593035, 0.20255163
60000, 0.05940525, 0.21241903
61000, 0.0573647, 0.37701863
62000, 0.057718717, 0.3296989
63000, 0.05768357, 0.1938701
64000, 0.05740107, 0.21883464
65000, 0.057471126, 0.23422094
66000, 0.057449717, 0.3325259
67000, 0.05806097, 0.25504217
68000, 0.05682113, 0.3492556
69000, 0.05525814, 0.26939994
70000, 0.057440467, 0.4886194
71000, 0.057087917, 0.23108937
72000, 0.05703914, 0.28218177
73000, 0.057014126, 0.21069612
74000, 0.055418093, 0.17616044
75000, 0.056662813, 0.25188658
76000, 0.05558577, 0.38967898
77000, 0.057142287, 0.5738393
78000, 0.057064652, 0.18599229
79000, 0.058199853, 0.16210045
80000, 0.05601896, 0.7455761
81000, 0.056671243, 0.22805661
82000, 0.056174222, 0.25159216
83000, 0.055508915, 0.22367202
84000, 0.055265743, 0.26281753
85000, 0.05519038, 0.60421896
86000, 0.055483222, 0.6432833
87000, 0.05534855, 0.20981751
88000, 0.05562399, 0.31171733
89000, 0.05489664, 0.39610076
90000, 0.05523338, 0.6661587
91000, 0.054434136, 0.41424236
92000, 0.055039845, 0.74056596
93000, 0.05382143, 0.21109955
94000, 0.052729428, 0.679473
95000, 0.05320255, 0.2785493
96000, 0.05015074, 0.23932998
97000, 0.05219917, 0.53576374
98000, 0.05127371, 0.6687081
99000, 0.04991431, 0.39112464
100000, 0.05129756, 0.30757844
101000, 0.050007988, 0.58937305
102000, 0.04842025, 0.6192433
103000, 0.049468275, 0.30942643
104000, 0.05080798, 0.69777995
105000, 0.049397767, 0.49750316
106000, 0.049751792, 0.21795252
107000, 0.04939005, 0.7926058
108000, 0.049870312, 0.4450869
109000, 0.049470454, 0.87065786
110000, 0.048671205, 0.7717758
111000, 0.049412772, 0.3949227
112000, 0.04983403, 0.6475838
113000, 0.048901465, 0.25571266
114000, 0.04947936, 0.2029773
115000, 0.048804227, 0.23419191
116000, 0.048507094, 0.6762683
117000, 0.047755755, 0.19878061
118000, 0.04891848, 0.18270323
119000, 0.04921295, 0.25798604
120000, 0.047352787, 0.42070466
121000, 0.049633928, 0.53199005
122000, 0.047518898, 0.41838503
123000, 0.048926096, 0.19847572
124000, 0.047827926, 0.36010587
125000, 0.048135202, 0.6101457
126000, 0.048749227, 0.18329747
127000, 0.04846233, 0.2476681
128000, 0.050901983, 0.3865709
129000, 0.051410288, 0.66954345
130000, 0.05130627, 0.31100896
131000, 0.048609745, 0.78085816
132000, 0.049385253, 0.41020307
133000, 0.04830999, 0.76944417
134000, 0.049000937, 0.84808385
135000, 0.050178062, 1.1854637
136000, 0.048892982, 1.3313378
137000, 0.049687125, 0.8325245
138000, 0.049007993, 0.25526166
139000, 0.04871488, 0.558503
140000, 0.049139015, 0.7299857
141000, 0.04946973, 0.89802545
142000, 0.048309803, 1.1133235
143000, 0.050132133, 1.6181864
144000, 0.04969842, 0.26507014
145000, 0.049987625, 0.5597125
146000, 0.050174788, 0.73120797
147000, 0.04842787, 1.0010821
148000, 0.049035944, 1.4530689
149000, 0.05157702, 0.78809094
150000, 0.048897214, 0.38213652
151000, 0.053706154, 0.9070784
152000, 0.048062157, 1.7194983
153000, 0.04794899, 1.3572091
154000, 0.04744058, 1.0226911
155000, 0.048884306, 1.1470748
156000, 0.0502084, 0.6765973
157000, 0.04758819, 1.3638744
158000, 0.048915528, 0.9659578
159000, 0.048960235, 0.27066615
160000, 0.046743587, 1.2537044
161000, 0.047790006, 1.6284174
162000, 0.047566365, 0.45780396
163000, 0.04678354, 0.5976346
164000, 0.048223205, 0.2809571
165000, 0.04821444, 0.21210176
166000, 0.046909507, 1.0193526
167000, 0.049745042, 0.35421768
168000, 0.051880755, 0.33278948
169000, 0.049198475, 0.4042925
170000, 0.052301444, 0.6009528
171000, 0.056041308, 0.5380205
172000, 0.05394318, 5.2455726
173000, 0.055402435, 2.4904833
174000, 0.053455222, 2.117145
175000, 0.05414082, 1.07311
176000, 0.052814435, 0.38675252
177000, 0.05419164, 0.78444177
178000, 0.05443021, 1.8214966
179000, 0.05486094, 1.5277554
180000, 0.051040508, 0.65967155
181000, 0.053770393, 0.9764944
182000, 0.053665634, 0.43543804
183000, 0.049522273, 0.5443804
184000, 0.05444512, 0.853011
185000, 0.044585794, 0.40007576
186000, 0.042919878, 0.6893672
187000, 0.041115876, 0.7668743
188000, 0.04165637, 0.99135387
189000, 0.04163098, 1.3251907
190000, 0.04051784, 1.3462657
191000, 0.041768614, 0.7783697
192000, 0.04221968, 0.34385478
193000, 0.041772984, 1.1558741
194000, 0.04194161, 0.5617169
195000, 0.04260308, 0.830762
196000, 0.042088576, 0.6503483
197000, 0.042083763, 0.562884
198000, 0.04209063, 0.5574953
199000, 0.041581817, 0.53740543
200000, 0.04211043, 0.80827844
201000, 0.044369563, 2.2575326
202000, 0.043079555, 0.7492574
203000, 0.043165848, 0.67876285
204000, 0.046064258, 1.3962094
205000, 0.045008022, 1.1051973
206000, 0.045060016, 0.31384316
207000, 0.0439321, 0.40450832
208000, 0.04525527, 0.23067023
209000, 0.045202147, 1.006375
210000, 0.046268363, 0.31510997
211000, 0.047856275, 0.19510803
212000, 0.04813713, 0.44635877
213000, 0.04801177, 0.34710842
214000, 0.047882326, 0.48928845
215000, 0.048897486, 0.38206148
216000, 0.04596925, 0.78712696
217000, 0.049388092, 0.41207075
218000, 0.048531037, 1.151657
219000, 0.050194807, 0.69241697
220000, 0.046517607, 0.5663064
221000, 0.047503907, 0.9117202
222000, 0.047163688, 0.65250117
223000, 0.046869826, 0.2675617
224000, 0.0465743, 0.8842456
225000, 0.047560938, 1.6817683
226000, 0.048639208, 0.353934
227000, 0.048352018, 0.26941198
228000, 0.04993386, 1.0702422
229000, 0.04974904, 0.6500989
230000, 0.048591137, 0.5099995
231000, 0.04828116, 0.48542678
232000, 0.047806144, 0.60224557
233000, 0.047652278, 0.49312043
234000, 0.04944503, 0.9510431
235000, 0.047405206, 0.69606125
236000, 0.048488107, 0.5194753
237000, 0.050069813, 0.26031813
238000, 0.04897988, 0.48243716
239000, 0.050267495, 0.42636976
240000, 0.049588215, 0.45832828
241000, 0.047708746, 0.63190895
242000, 0.049972333, 0.51479584
243000, 0.0487795, 0.9385204
244000, 0.047532093, 0.99603
245000, 0.048092775, 0.14639075
246000, 0.049527965, 0.607544
247000, 0.049880207, 0.39008537
