gamesPlayed,averageTDError,weightDelta
1000, 0.036170285, 1.3474467
2000, 0.038483452, 0.67765003
3000, 0.03876876, 0.62560445
4000, 0.039082613, 0.6130629
5000, 0.040212244, 0.6568431
6000, 0.040722966, 0.45945424
7000, 0.041948345, 0.43287283
8000, 0.04291172, 0.3803878
9000, 0.043081813, 0.29527128
10000, 0.04432882, 0.3163892
11000, 0.045139104, 0.2275424
12000, 0.04652648, 0.23762624
13000, 0.047532283, 0.2255123
14000, 0.046142653, 0.20772141
15000, 0.045847576, 0.19635874
16000, 0.046459362, 0.27530697
17000, 0.044845108, 0.18904969
18000, 0.043314606, 0.2064363
19000, 0.04393236, 0.25703067
20000, 0.042259466, 0.33545977
21000, 0.043691427, 0.47410455
22000, 0.04354523, 0.5367539
23000, 0.042723767, 0.47686923
24000, 0.042723272, 0.50995654
25000, 0.043009292, 0.35558933
26000, 0.042996723, 0.25090572
27000, 0.04347533, 0.21032418
28000, 0.04374599, 0.25415817
29000, 0.04339883, 0.20618404
30000, 0.042255122, 0.2235924
31000, 0.042258628, 0.18787898
32000, 0.041395795, 0.16436827
33000, 0.041406404, 0.1411728
34000, 0.042812247, 0.22101943
35000, 0.042212527, 0.1206295
36000, 0.042347014, 0.12510139
37000, 0.042799547, 0.14951356
38000, 0.04295872, 0.23141542
39000, 0.043998946, 0.27299458
40000, 0.044245254, 0.17920597
41000, 0.044279132, 0.18437888
42000, 0.04478097, 0.15841924
43000, 0.044402994, 0.18032813
44000, 0.043699834, 0.16198073
45000, 0.043807115, 0.14635621
46000, 0.043692008, 0.10344635
47000, 0.044160407, 0.12295342
48000, 0.04362251, 0.11588595
49000, 0.044045333, 0.12248313
50000, 0.043831926, 0.11248342
51000, 0.04334755, 0.111892514
52000, 0.044574592, 0.098306775
53000, 0.044769634, 0.101705626
54000, 0.044147626, 0.10131497
55000, 0.04469819, 0.091709696
56000, 0.044881884, 0.12605162
57000, 0.04589995, 0.106120035
58000, 0.04535356, 0.15050869
59000, 0.04518775, 0.14415514
60000, 0.045513477, 0.16714667
61000, 0.04580523, 0.11099888
62000, 0.045109034, 0.15750435
63000, 0.045025337, 0.11963191
64000, 0.04505243, 0.13240775
65000, 0.045620635, 0.13762158
66000, 0.045350626, 0.101422556
67000, 0.045802202, 0.10641233
68000, 0.045243334, 0.12025591
69000, 0.046354324, 0.18182647
70000, 0.04605417, 0.11252138
71000, 0.046782643, 0.13766131
72000, 0.046309076, 0.14385344
73000, 0.04699354, 0.21662866
74000, 0.045967113, 0.23584679
75000, 0.043853793, 0.3112635
76000, 0.04467387, 0.2615425
77000, 0.04560877, 0.21580082
78000, 0.045049783, 0.23991865
79000, 0.04637759, 0.3104693
80000, 0.04562204, 0.37752494
81000, 0.045822676, 0.34099495
82000, 0.045530073, 0.22475676
83000, 0.048004426, 0.68078035
84000, 0.04887704, 0.36844343
85000, 0.04861024, 0.6011791
86000, 0.050212506, 0.5744423
87000, 0.048959646, 2.9608507
88000, 0.05336917, 1.067899
89000, 0.05885549, 0.70332545
90000, 0.0637078, 0.58773303
91000, 0.0660508, 0.48354766
92000, 0.06510662, 0.29148355
93000, 0.06510771, 0.30580246
94000, 0.06538558, 0.31780392
95000, 0.062344015, 0.4068529
96000, 0.06070112, 0.33304417
97000, 0.058572, 0.34007952
98000, 0.05632514, 0.4810723
99000, 0.054489728, 0.3222572
100000, 0.050279163, 0.46056458
101000, 0.04826882, 0.50645554
102000, 0.04727608, 0.35922322
103000, 0.046879098, 0.5846873
104000, 0.047296915, 0.37874004
105000, 0.04711276, 0.5185202
106000, 0.048129488, 0.97011405
107000, 0.05131713, 1.4970688
108000, 0.051288366, 0.3233007
109000, 0.050217066, 0.29288796
110000, 0.048574444, 0.6874987
111000, 0.046593934, 0.2668105
112000, 0.048302807, 0.3717788
113000, 0.045256563, 0.8280734
114000, 0.0461958, 0.4761937
115000, 0.04728429, 1.0173428
116000, 0.05074195, 0.6378111
117000, 0.048323277, 0.49771732
118000, 0.04806046, 0.36831942
119000, 0.04663616, 0.31196514
120000, 0.0450277, 0.5258027
121000, 0.04444714, 0.25781754
122000, 0.04459674, 0.37430567
123000, 0.04353775, 0.37700427
