gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
1000, 0.039157387, 0.62991744, 0.0016404501, 0.103001505, 0.47955084, 621, 0
2000, 0.039194636, 0.28776386, 0.0015961414, 0.10315787, 0.45895427, 621, 0
3000, 0.040440734, 0.21124941, 0.001549141, 0.10334938, 0.51864505, 620, 0
4000, 0.041350927, 0.18973903, 0.0015073323, 0.10357257, 0.6105546, 620, 0
5000, 0.042490352, 0.17395768, 0.0014634897, 0.10381533, 0.6905138, 620, 0
6000, 0.04327297, 0.1647633, 0.0014335441, 0.10408656, 0.7527992, 620, 0
7000, 0.044278022, 0.1723806, 0.0013851419, 0.10438858, 0.81537014, 620, 0
8000, 0.04534586, 0.162369, 0.0013333439, 0.104688846, 0.86947685, 620, 0
9000, 0.045959756, 0.15378346, 0.0012943385, 0.10501298, 0.91981417, 620, 0
10000, 0.046436448, 0.15126581, 0.001250972, 0.105319, 0.96733546, 621, 0
11000, 0.046891384, 0.16011824, 0.0011901465, 0.10565796, 1.0151281, 620, 0
12000, 0.0474331, 0.14605045, 0.0011483005, 0.105991505, 1.0575782, 620, 0
13000, 0.04711433, 0.15600157, 0.0010976747, 0.10635972, 1.1047852, 620, 0
14000, 0.04778441, 0.15272231, 0.0010494626, 0.106711276, 1.142291, 620, 0
15000, 0.04799521, 0.15383911, 0.0010003672, 0.10708363, 1.1828787, 621, 0
16000, 0.048340287, 0.13486393, 9.5989206E-4, 0.10743892, 1.2259902, 621, 0
17000, 0.047929585, 0.14654197, 9.10513E-4, 0.107829385, 1.2745713, 621, 0
18000, 0.04836039, 0.14503832, 8.516941E-4, 0.10818481, 1.316513, 621, 0
19000, 0.04852221, 0.12259589, 8.160309E-4, 0.10855121, 1.3509108, 622, 0
20000, 0.048944827, 0.13561888, 7.5983914E-4, 0.10893026, 1.3967505, 621, 0
21000, 0.048977714, 0.12176875, 7.186909E-4, 0.10928992, 1.4363574, 620, 0
22000, 0.049710076, 0.11606746, 6.823121E-4, 0.109631784, 1.4727306, 621, 0
23000, 0.049732875, 0.114383504, 6.495188E-4, 0.10998668, 1.5055991, 620, 0
24000, 0.04868829, 0.13723241, 5.94808E-4, 0.11038213, 1.546954, 620, 0
25000, 0.04953884, 0.12984276, 5.401218E-4, 0.11075135, 1.5876313, 620, 0
26000, 0.050499197, 0.13789846, 4.8259512E-4, 0.11112073, 1.6258985, 620, 0
27000, 0.050127115, 0.13587889, 4.2640732E-4, 0.11147912, 1.6671803, 622, 0
28000, 0.050349694, 0.13015883, 3.8335062E-4, 0.1118306, 1.721478, 622, 0
29000, 0.049640458, 0.13469148, 3.2991823E-4, 0.11220023, 1.7778165, 621, 0
30000, 0.04916696, 0.14259624, 2.73079E-4, 0.11255666, 1.834143, 620, 0
31000, 0.049636584, 0.13045609, 2.3645772E-4, 0.11291372, 1.8796796, 620, 0
32000, 0.049607012, 0.12820268, 2.0790598E-4, 0.11327741, 1.9302564, 621, 0
33000, 0.049550176, 0.12726018, 1.8054504E-4, 0.1136199, 1.9772048, 620, 0
34000, 0.050177757, 0.13777006, 1.5382271E-4, 0.11400988, 2.0363314, 622, 0
35000, 0.049776148, 0.12271442, 1.2710628E-4, 0.11436544, 2.082859, 622, 0
36000, 0.050789244, 0.12453117, 1.1235406E-4, 0.11473318, 2.1425896, 621, 0
37000, 0.05049077, 0.1263621, 8.3840576E-5, 0.115127675, 2.1952066, 621, 0
38000, 0.05125654, 0.13178125, 5.3445372E-5, 0.115464374, 2.242449, 620, 0
39000, 0.051169913, 0.10625183, 5.26822E-5, 0.115787305, 2.2803278, 621, 0
40000, 0.051437303, 0.11545605, 3.5983634E-5, 0.11612803, 2.3160567, 621, 0
41000, 0.050805964, 0.12018317, 2.5982308E-5, 0.11649163, 2.3510013, 620, 0
42000, 0.050546322, 0.121644974, 1.2527785E-5, 0.11685594, 2.382625, 620, 0
43000, 0.0498005, 0.12881915, 1.2601511E-5, 0.11719187, 2.4017608, 620, 0
44000, 0.04835566, 0.15222107, -3.285668E-7, 0.117565095, 2.4328492, 620, 0
45000, 0.047527503, 0.16549934, -7.0775145E-6, 0.11791136, 2.4564195, 621, 0
46000, 0.04650407, 0.16874598, -1.5298243E-5, 0.118219234, 2.4867768, 621, 0
47000, 0.04594853, 0.19287956, -2.147414E-5, 0.118472375, 2.5080895, 621, 0
48000, 0.044156007, 0.22836511, -3.5620447E-5, 0.11861065, 2.5166373, 620, 0
49000, 0.044851605, 0.22061497, -6.664812E-5, 0.118734345, 2.5185838, 620, 0
50000, 0.043769848, 0.2592242, -1.19542485E-4, 0.118924834, 2.5257201, 620, 0
51000, 0.043204665, 0.21986885, -1.8059161E-4, 0.11907848, 2.5283751, 620, 0
52000, 0.042127844, 0.19997458, -2.4071519E-4, 0.11921543, 2.529778, 622, 0
53000, 0.041543636, 0.17060108, -2.8778825E-4, 0.11934375, 2.5319734, 620, 0
54000, 0.040739812, 0.19982792, -3.6552618E-4, 0.11946973, 2.5323677, 621, 0
55000, 0.040274058, 0.18212628, -4.2626206E-4, 0.119546816, 2.5330482, 623, 0
56000, 0.04043843, 0.1698888, -4.5888007E-4, 0.11963537, 2.53389, 622, 0
57000, 0.04006489, 0.18926637, -4.882785E-4, 0.1196272, 2.5346599, 621, 0
58000, 0.04055667, 0.20145246, -5.346064E-4, 0.119634576, 2.5357358, 620, 0
59000, 0.04013797, 0.1826733, -5.56147E-4, 0.11959854, 2.536576, 620, 0
60000, 0.04200239, 0.16605863, -5.6295336E-4, 0.11954004, 2.5376291, 620, 0
