generation,bestFitness,avgFitness,worstFitness,stdDev
0,0.050000,0.007400,0.000000,0.011280
1,0.080000,0.011000,0.000000,0.015524
2,0.050000,0.009800,0.000000,0.013037
3,0.090000,0.015400,0.000000,0.018837
4,0.060000,0.014300,0.000000,0.017335
5,0.050000,0.010500,0.000000,0.013444
6,0.100000,0.014500,0.000000,0.017854
7,0.090000,0.013800,0.000000,0.017932
8,0.100000,0.021000,0.000000,0.022956
9,0.130000,0.020700,0.000000,0.023969
10,0.120000,0.021800,0.000000,0.023297
11,0.110000,0.027000,0.000000,0.026325
12,0.140000,0.032300,0.000000,0.030195
13,0.110000,0.035800,0.000000,0.026951
14,0.160000,0.038300,0.000000,0.029565
15,0.150000,0.047400,0.000000,0.032638
16,0.200000,0.051400,0.000000,0.042238
17,0.140000,0.053500,0.000000,0.032875
18,0.200000,0.067800,0.000000,0.041799
19,0.220000,0.079000,0.000000,0.040804
20,0.250000,0.087000,0.000000,0.047445
21,0.260000,0.101200,0.010000,0.052750
22,0.280000,0.120900,0.020000,0.052557
23,0.280000,0.112800,0.030000,0.048889
24,0.260000,0.131100,0.020000,0.051418
25,0.300000,0.146400,0.040000,0.051352
26,0.380000,0.150500,0.040000,0.053130
27,0.330000,0.157600,0.040000,0.052766
28,0.310000,0.165300,0.030000,0.051681
29,0.320000,0.184600,0.080000,0.058145
30,0.360000,0.189500,0.080000,0.062871
31,0.450000,0.207800,0.060000,0.067876
32,0.370000,0.204500,0.090000,0.056963
33,0.390000,0.219600,0.070000,0.061902
34,0.400000,0.205700,0.040000,0.063926
35,0.410000,0.236800,0.060000,0.067006
36,0.440000,0.227200,0.080000,0.063310
37,0.440000,0.237200,0.080000,0.072651
38,0.430000,0.253600,0.090000,0.072505
39,0.430000,0.257200,0.110000,0.065743
40,0.520000,0.251500,0.090000,0.065412
41,0.410000,0.259400,0.130000,0.059039
42,0.410000,0.268200,0.140000,0.065869
43,0.470000,0.272100,0.100000,0.069084
44,0.450000,0.279800,0.130000,0.069771
45,0.460000,0.291200,0.160000,0.065822
46,0.490000,0.276000,0.140000,0.071120
47,0.410000,0.283500,0.100000,0.059167
48,0.450000,0.285200,0.150000,0.072270
49,0.520000,0.283600,0.150000,0.068652
50,0.490000,0.294400,0.160000,0.064751
51,0.450000,0.283800,0.100000,0.072606
52,0.480000,0.278700,0.120000,0.067730
53,0.510000,0.314100,0.170000,0.068602
54,0.490000,0.313700,0.160000,0.073534
55,0.540000,0.331900,0.120000,0.082373
56,0.540000,0.342600,0.160000,0.079494
57,0.560000,0.323600,0.170000,0.070831
58,0.440000,0.333300,0.200000,0.059331
59,0.550000,0.338900,0.170000,0.078739
60,0.530000,0.339200,0.170000,0.074882
61,0.590000,0.349400,0.180000,0.068976
62,0.510000,0.338000,0.120000,0.072636
63,0.570000,0.363500,0.160000,0.079930
64,0.620000,0.364500,0.130000,0.076058
65,0.570000,0.369000,0.190000,0.073437
66,0.520000,0.365700,0.200000,0.069387
67,0.560000,0.383200,0.190000,0.073510
68,0.580000,0.362100,0.200000,0.075502
69,0.560000,0.376000,0.170000,0.075206
70,0.590000,0.368700,0.200000,0.073534
71,0.520000,0.367400,0.150000,0.070280
72,0.590000,0.386400,0.170000,0.080901
73,0.550000,0.369800,0.200000,0.078141
74,0.550000,0.380000,0.240000,0.067171
75,0.600000,0.386300,0.190000,0.075441
76,0.540000,0.375800,0.200000,0.073433
77,0.600000,0.379800,0.240000,0.074027
78,0.580000,0.390400,0.210000,0.078395
79,0.590000,0.390100,0.200000,0.082831
80,0.570000,0.393000,0.210000,0.073939
81,0.580000,0.397800,0.200000,0.079418
82,0.570000,0.404300,0.240000,0.077243
83,0.640000,0.401300,0.220000,0.075956
84,0.580000,0.396200,0.240000,0.068801
85,0.640000,0.402800,0.230000,0.085077
86,0.620000,0.402800,0.220000,0.073499
87,0.650000,0.411300,0.240000,0.083482
88,0.610000,0.419000,0.280000,0.069477
89,0.670000,0.418000,0.240000,0.081117
90,0.550000,0.410000,0.260000,0.070512
91,0.680000,0.430400,0.250000,0.086046
92,0.690000,0.430000,0.290000,0.080037
93,0.620000,0.422600,0.250000,0.073070
94,0.600000,0.414500,0.240000,0.074945
95,0.630000,0.427600,0.270000,0.073104
96,0.610000,0.436400,0.230000,0.083361
97,0.600000,0.435400,0.220000,0.078069
98,0.700000,0.440200,0.210000,0.083054
99,0.630000,0.446700,0.180000,0.085581
