generation,bestFitness,avgFitness,worstFitness,stdDev
0,0.100000,0.008700,0.000000,0.014605
1,0.090000,0.012700,0.000000,0.014823
2,0.110000,0.013200,0.000000,0.018541
3,0.070000,0.012200,0.000000,0.015138
4,0.080000,0.014700,0.000000,0.017404
5,0.070000,0.015200,0.000000,0.016092
6,0.100000,0.015900,0.000000,0.020933
7,0.110000,0.020200,0.000000,0.022045
8,0.070000,0.019100,0.000000,0.018660
9,0.080000,0.018300,0.000000,0.018711
10,0.090000,0.023600,0.000000,0.021518
11,0.100000,0.026400,0.000000,0.022914
12,0.120000,0.032500,0.000000,0.027978
13,0.230000,0.036600,0.000000,0.035671
14,0.150000,0.041500,0.000000,0.032538
15,0.120000,0.044100,0.000000,0.029903
16,0.130000,0.050100,0.000000,0.034132
17,0.170000,0.058200,0.000000,0.038350
18,0.170000,0.068700,0.000000,0.037753
19,0.180000,0.068000,0.000000,0.039799
20,0.210000,0.073000,0.010000,0.039686
21,0.250000,0.082000,0.000000,0.046947
22,0.220000,0.094300,0.000000,0.047713
23,0.220000,0.097200,0.000000,0.048725
24,0.310000,0.115200,0.020000,0.055560
25,0.270000,0.128800,0.030000,0.048524
26,0.240000,0.116700,0.020000,0.044745
27,0.310000,0.140100,0.010000,0.055453
28,0.250000,0.136300,0.010000,0.052051
29,0.310000,0.152200,0.050000,0.059625
30,0.320000,0.167500,0.020000,0.059973
31,0.300000,0.177900,0.030000,0.054375
32,0.340000,0.199000,0.070000,0.057385
33,0.370000,0.193100,0.090000,0.062445
34,0.380000,0.189200,0.080000,0.060128
35,0.420000,0.201800,0.090000,0.062071
36,0.380000,0.220200,0.080000,0.059699
37,0.410000,0.232800,0.110000,0.062034
38,0.390000,0.228000,0.090000,0.063214
39,0.430000,0.237600,0.110000,0.057256
40,0.440000,0.240500,0.110000,0.067237
41,0.420000,0.238800,0.100000,0.060038
42,0.450000,0.239400,0.080000,0.062543
43,0.400000,0.242300,0.090000,0.064418
44,0.430000,0.255200,0.100000,0.065688
45,0.430000,0.258900,0.150000,0.056176
46,0.430000,0.249500,0.130000,0.063865
47,0.480000,0.259600,0.120000,0.064357
48,0.450000,0.267800,0.110000,0.063302
49,0.470000,0.272200,0.110000,0.073001
50,0.420000,0.277900,0.090000,0.063155
51,0.450000,0.282100,0.120000,0.068823
52,0.440000,0.292700,0.150000,0.058512
53,0.430000,0.296300,0.110000,0.071451
54,0.510000,0.303400,0.160000,0.059283
55,0.450000,0.289800,0.140000,0.065878
56,0.490000,0.303600,0.130000,0.067595
57,0.570000,0.308400,0.150000,0.082155
58,0.580000,0.317900,0.170000,0.066698
59,0.490000,0.318000,0.180000,0.073430
60,0.520000,0.325100,0.150000,0.072945
61,0.540000,0.346300,0.190000,0.065125
62,0.480000,0.330900,0.200000,0.068543
63,0.530000,0.345000,0.170000,0.072381
64,0.570000,0.355100,0.210000,0.070619
65,0.520000,0.348100,0.190000,0.070038
66,0.540000,0.357300,0.190000,0.070581
67,0.520000,0.353400,0.200000,0.064996
68,0.560000,0.379200,0.230000,0.069017
69,0.570000,0.369500,0.210000,0.070546
70,0.540000,0.374000,0.190000,0.067690
71,0.570000,0.371800,0.170000,0.078414
72,0.500000,0.370300,0.190000,0.076609
73,0.600000,0.381100,0.180000,0.074858
74,0.620000,0.395000,0.220000,0.081860
75,0.590000,0.393900,0.230000,0.082352
76,0.560000,0.391900,0.200000,0.063003
77,0.620000,0.397400,0.250000,0.071367
78,0.560000,0.387800,0.230000,0.071994
79,0.650000,0.406400,0.210000,0.080802
80,0.580000,0.399100,0.220000,0.076356
81,0.610000,0.392900,0.200000,0.075701
82,0.600000,0.407100,0.250000,0.079061
83,0.610000,0.405200,0.210000,0.085563
84,0.650000,0.414500,0.240000,0.089245
85,0.600000,0.420600,0.240000,0.073059
86,0.630000,0.426700,0.220000,0.085370
87,0.620000,0.424600,0.230000,0.085620
88,0.650000,0.432200,0.220000,0.081334
89,0.650000,0.428500,0.220000,0.081773
90,0.660000,0.447100,0.260000,0.080403
91,0.610000,0.448100,0.290000,0.071059
92,0.610000,0.442400,0.240000,0.064064
93,0.640000,0.445500,0.240000,0.081980
94,0.660000,0.441200,0.280000,0.087605
95,0.620000,0.455400,0.310000,0.077349
96,0.740000,0.453600,0.280000,0.086989
97,0.620000,0.461300,0.290000,0.067789
98,0.710000,0.474800,0.310000,0.072890
99,0.640000,0.448400,0.180000,0.085167

