generation,bestFitness,avgFitness,worstFitness,stdDev
0,0.070000,0.009900,0.000000,0.013747
1,0.090000,0.011500,0.000000,0.014654
2,0.110000,0.015700,0.000000,0.018399
3,0.060000,0.016300,0.000000,0.015143
4,0.090000,0.021400,0.000000,0.021261
5,0.090000,0.025300,0.000000,0.022603
6,0.090000,0.023100,0.000000,0.022392
7,0.170000,0.033700,0.000000,0.029922
8,0.120000,0.031700,0.000000,0.025419
9,0.130000,0.040300,0.000000,0.032816
10,0.150000,0.047800,0.000000,0.036867
11,0.190000,0.052300,0.000000,0.036493
12,0.240000,0.060900,0.000000,0.042757
13,0.230000,0.079700,0.000000,0.046486
14,0.210000,0.088500,0.010000,0.047631
15,0.230000,0.089900,0.000000,0.049102
16,0.290000,0.109300,0.000000,0.057188
17,0.310000,0.124000,0.020000,0.065330
18,0.380000,0.139600,0.010000,0.063544
19,0.300000,0.157100,0.020000,0.062005
20,0.330000,0.164400,0.040000,0.064997
21,0.300000,0.149000,0.030000,0.059808
22,0.370000,0.179500,0.040000,0.068737
23,0.350000,0.194900,0.040000,0.061278
24,0.350000,0.193200,0.050000,0.066301
25,0.380000,0.209000,0.050000,0.067402
26,0.370000,0.211100,0.090000,0.065160
27,0.460000,0.230100,0.090000,0.075173
28,0.480000,0.230800,0.080000,0.064756
29,0.420000,0.224300,0.090000,0.063123
30,0.450000,0.244600,0.090000,0.078197
31,0.430000,0.263100,0.130000,0.063146
32,0.410000,0.264600,0.050000,0.069877
33,0.450000,0.266200,0.110000,0.070011
34,0.420000,0.278100,0.130000,0.067330
35,0.460000,0.282600,0.150000,0.071100
36,0.540000,0.280000,0.080000,0.082085
37,0.540000,0.288600,0.060000,0.082207
38,0.470000,0.296600,0.150000,0.069010
39,0.470000,0.300100,0.160000,0.075120
40,0.490000,0.303800,0.130000,0.073577
41,0.530000,0.319300,0.100000,0.081661
42,0.470000,0.318600,0.130000,0.073308
43,0.530000,0.327900,0.180000,0.074058
44,0.500000,0.342600,0.170000,0.066085
45,0.520000,0.328800,0.160000,0.078247
46,0.500000,0.343200,0.160000,0.075218
47,0.570000,0.358300,0.170000,0.079713
48,0.550000,0.364300,0.170000,0.075541
49,0.610000,0.380900,0.170000,0.078970
50,0.590000,0.377100,0.180000,0.082780
51,0.550000,0.383600,0.220000,0.071882
52,0.560000,0.386000,0.250000,0.072512
53,0.520000,0.373200,0.220000,0.069812
54,0.650000,0.383100,0.200000,0.082410
55,0.610000,0.390500,0.200000,0.088559
56,0.630000,0.396600,0.210000,0.082513
57,0.580000,0.416700,0.230000,0.083403
58,0.600000,0.395500,0.220000,0.076855
59,0.600000,0.413200,0.260000,0.069927
60,0.590000,0.404200,0.200000,0.071403
61,0.570000,0.412100,0.260000,0.080228
62,0.610000,0.416000,0.260000,0.072291
63,0.630000,0.410500,0.240000,0.082078
64,0.700000,0.432000,0.230000,0.094721
65,0.710000,0.432900,0.260000,0.086606
66,0.620000,0.436500,0.260000,0.073435
67,0.610000,0.430800,0.290000,0.079242
68,0.710000,0.450200,0.250000,0.087304
69,0.630000,0.453000,0.250000,0.079454
70,0.660000,0.451900,0.200000,0.080171
71,0.700000,0.452400,0.240000,0.089567
72,0.630000,0.463900,0.300000,0.081913
73,0.670000,0.449400,0.230000,0.091168
74,0.630000,0.467900,0.290000,0.081428
75,0.760000,0.465000,0.310000,0.082855
76,0.700000,0.486100,0.330000,0.074147
77,0.700000,0.468800,0.240000,0.082040
78,0.690000,0.472400,0.260000,0.081635
79,0.720000,0.491500,0.330000,0.085339
80,0.650000,0.470600,0.240000,0.084176
81,0.660000,0.479500,0.260000,0.079880
82,0.740000,0.497900,0.340000,0.079301
83,0.680000,0.492500,0.310000,0.074302
84,0.670000,0.491200,0.280000,0.078004
85,0.710000,0.492200,0.330000,0.077416
86,0.680000,0.476800,0.300000,0.079371
87,0.670000,0.479600,0.260000,0.075815
88,0.710000,0.494800,0.290000,0.082565
89,0.690000,0.491600,0.330000,0.087735
90,0.730000,0.495400,0.260000,0.086399
91,0.750000,0.492200,0.290000,0.083565
92,0.680000,0.486200,0.280000,0.072826
93,0.730000,0.492600,0.280000,0.091702
94,0.690000,0.503900,0.270000,0.082570
95,0.640000,0.480900,0.240000,0.075048
96,0.690000,0.492300,0.280000,0.089083
97,0.730000,0.499300,0.340000,0.084371
98,0.680000,0.478200,0.280000,0.083035
99,0.730000,0.495100,0.310000,0.081492


Best agent statistics:
  Fitness: 0.76 PPG
Weight Statistics:
  Mean: 0.0011, StdDev: 0.1254, MaxAbs: 0.5069
  Near-zero (<0.01): 560 (6.9%)
  Large (>5.0): 0 (0.0%)
