gamesPlayed,averageTDError,weightDelta
1000,0.036148537,1.5608133
2000,0.03511,0.9092612
3000,0.0352109,0.63566583
4000,0.03631395,0.6102776
5000,0.036982376,0.60091245
6000,0.036323704,0.71465605
7000,0.03614579,0.8719411
8000,0.03729633,0.80701125
9000,0.037503786,0.54904735
10000,0.03766814,0.39861465
11000,0.03851646,0.37477383
12000,0.039539408,0.42607713
13000,0.039541256,0.40271798
14000,0.04123823,0.432522
15000,0.042303767,0.38309765
16000,0.041671183,0.3581562
17000,0.04146667,0.39467353
18000,0.040623385,0.64448255
19000,0.042888563,0.6278539
20000,0.041626118,0.78463715
21000,0.038007967,0.73506594
22000,0.036957443,0.48455262
23000,0.036209557,0.35836345
24000,0.035202008,0.41015166
25000,0.035087623,0.30207956
26000,0.03395576,0.28997928
27000,0.033749226,0.2745772
28000,0.03372936,0.4168908
29000,0.033416614,0.3008999
30000,0.033208564,0.4809792
31000,0.031883355,0.52826285
32000,0.030966964,0.52765495
33000,0.030870827,1.1843897
34000,0.03921197,2.0847297
35000,0.045620143,2.6550627
36000,0.047478374,0.68945915
37000,0.04427177,0.54662806
38000,0.0431339,0.44979256
39000,0.04167203,0.3950492
40000,0.042684995,0.46996567
41000,0.04259246,0.46212873
42000,0.04395349,0.46937838
43000,0.04382396,0.43176258
44000,0.044535782,0.43035203
45000,0.045241646,0.4111736
46000,0.045478523,0.38584635
47000,0.045514815,0.3807217
48000,0.04724672,0.41518763
49000,0.047091216,0.41823423
50000,0.04837182,0.3617318
51000,0.04678442,0.33943322
52000,0.046980087,0.37454802
53000,0.047568787,0.30777252
54000,0.048034403,0.27480352
55000,0.045921054,0.28925484
56000,0.049906947,1.1146162
57000,0.04731174,0.47172326
58000,0.0484661,0.9289535
59000,0.04606963,0.38241598
60000,0.04574153,0.47420552
61000,0.043976437,0.3668638
62000,0.04419452,0.5811787
63000,0.04295434,0.29920506
64000,0.041905176,0.47544712
65000,0.039862182,0.5773907
66000,0.039848253,0.33443683
67000,0.042198237,0.2798644
68000,0.0415358,0.32846925
69000,0.039994832,0.633713
70000,0.041923385,0.29152966
71000,0.04054356,0.475928
72000,0.03992688,0.55519307
73000,0.042972863,0.6837831
74000,0.041004304,0.32971394
75000,0.040092606,0.5695906
76000,0.040594324,0.19585124
77000,0.041203763,0.21849398
78000,0.04071919,0.5350022
79000,0.039102454,0.83006245
80000,0.04057105,0.60762
81000,0.038834985,0.9267694
82000,0.03953336,0.70752823
83000,0.037671696,0.39627954
84000,0.03974986,0.75643164
85000,0.04125373,0.4295655
86000,0.040355697,1.2677948
87000,0.037743878,0.23204842
88000,0.03793223,0.20495921
89000,0.036817204,0.43530267
90000,0.03703989,0.20974083
91000,0.03570699,1.0648774
92000,0.03419491,0.81335884
93000,0.036750942,0.23506813
94000,0.036302052,0.8112212
95000,0.036032725,0.7870894
96000,0.03459854,0.43972948
97000,0.034522705,0.6887258
98000,0.035597987,0.5976589
99000,0.03476603,0.5364867
100000,0.032758284,0.847033
