gamesPlayed,averageTDError,weightDelta
1000,0.018504715,0.88622755
2000,0.034663666,0.78473365
3000,0.039425522,0.59280974
4000,0.040218048,0.4421391
5000,0.040488157,0.39674088
6000,0.04126805,0.3533609
7000,0.042342313,0.31138074
8000,0.04263394,0.28996375
9000,0.043412574,0.26212576
10000,0.04306248,0.2585375
11000,0.044071127,0.23800611
12000,0.043588676,0.29324636
13000,0.044337742,0.3030384
14000,0.044114046,0.33460402
15000,0.045328163,0.28373307
16000,0.045557156,0.2686852
17000,0.0471376,0.2048733
18000,0.046581756,0.20711342
19000,0.04627946,0.21119756
20000,0.04563049,0.2012015
21000,0.045213386,0.16258669
22000,0.044695202,0.14550641
23000,0.044275045,0.1550165
24000,0.04433953,0.16536619
25000,0.04282172,0.12356345
26000,0.04411032,0.19746597
27000,0.042665303,0.14148836
28000,0.041515477,0.124398395
29000,0.041533083,0.1068828
30000,0.04115988,0.13102011
31000,0.041798558,0.11994199
32000,0.040541753,0.1061339
33000,0.04078211,0.097656876
34000,0.041012634,0.10208275
35000,0.04054262,0.14520268
36000,0.039659202,0.0934988
37000,0.041101847,0.10906261
38000,0.040112793,0.13749714
39000,0.03944247,0.09156516
40000,0.038815852,0.09814876
41000,0.040242173,0.092816144
42000,0.039411627,0.08254664
43000,0.038972102,0.1068613
44000,0.03917049,0.08922192
45000,0.039836414,0.13022833
46000,0.038655955,0.13067213
47000,0.038921937,0.08965254
48000,0.03947246,0.10777942
49000,0.037774067,0.092484534
50000,0.038205035,0.07931154
51000,0.03816199,0.10302611
52000,0.036156394,0.07347228
53000,0.037478756,0.083436415
54000,0.03737921,0.07448225
55000,0.03586978,0.08653117
56000,0.03584681,0.10024156
57000,0.037906993,0.08262077
58000,0.037058834,0.089227766
59000,0.036863904,0.06976894
60000,0.03692318,0.113060504
61000,0.03504248,0.10540542
62000,0.035219144,0.13054928
63000,0.035677206,0.08567754
64000,0.03706429,0.15986152
65000,0.035660535,0.08898721
66000,0.035708338,0.065858305
67000,0.035820063,0.061964583
68000,0.03511583,0.08905579
69000,0.034133837,0.079212576
70000,0.03462305,0.07348651
71000,0.03496295,0.06630212
72000,0.03492227,0.08254331
73000,0.034594845,0.07979217
74000,0.035303272,0.08737279
75000,0.034054663,0.07321416
76000,0.03327011,0.1713863
77000,0.033817817,0.09354673
78000,0.03386927,0.073985845
79000,0.033494025,0.070246264
80000,0.033564616,0.10153078
81000,0.03406565,0.08317378
82000,0.03313982,0.084678404
83000,0.033400197,0.055658948
84000,0.033425715,0.06271273
85000,0.03287274,0.062970325
86000,0.033577874,0.099799015
87000,0.032988366,0.099919036
88000,0.032906786,0.07000844
89000,0.03354145,0.13469979
90000,0.03321875,0.070502445
91000,0.032480977,0.080389105
92000,0.033099324,0.08678835
93000,0.032298706,0.13106222
94000,0.03271013,0.14154433
95000,0.03135107,0.14218692
96000,0.030916814,0.079411246
97000,0.031177169,0.08252956
98000,0.03187286,0.08267766
99000,0.03183284,0.087379955
100000,0.030968975,0.1228495
