gamesPlayed,averageTDError,weightDelta
1000,0.02502003,1.9079921
2000,0.044612065,0.97183776
3000,0.047026735,0.9095166
4000,0.047561917,0.83328676
5000,0.047814287,0.7393779
6000,0.045043904,0.73108697
7000,0.043674827,0.68897855
8000,0.04343178,0.7419954
9000,0.042554345,0.55054635
10000,0.04044411,0.5596474
11000,0.039978884,0.49220648
12000,0.039541643,0.5298632
13000,0.04004072,1.0943198
14000,0.051654942,2.850752
15000,0.059064835,2.5440798
16000,0.056041,0.88017476
17000,0.053340487,0.57538265
18000,0.053496562,0.57125825
19000,0.05146896,0.4471549
20000,0.05526507,0.4617694
21000,0.05731394,0.4559627
22000,0.05975745,1.4574608
23000,0.062963255,0.76034236
24000,0.06672056,2.1182323
25000,0.062943995,4.2801843
26000,0.05372486,2.605595
27000,0.051388457,1.1490954
28000,0.050233986,1.0575554
29000,0.046754703,0.879645
30000,0.04638491,0.75394845
31000,0.0444676,0.6266791
32000,0.045397047,0.6936173
33000,0.042160627,0.7294332
34000,0.043329567,0.558357
35000,0.042531442,0.545375
36000,0.043988947,1.3815032
37000,0.043231856,0.47572482
38000,0.04189505,0.75210124
39000,0.04088478,0.57336515
40000,0.041267134,1.077428
41000,0.039511006,0.42433086
42000,0.03994706,0.43002596
43000,0.038806926,1.0041455
44000,0.039249133,0.5605229
45000,0.041096102,0.39606774
46000,0.041152578,1.3141133
47000,0.039716303,0.76136804
48000,0.040319823,0.36948293
49000,0.038825117,1.3442543
50000,0.04044263,0.5450747
51000,0.038534272,1.2536656
52000,0.036735706,0.7452687
53000,0.041098956,2.1165183
54000,0.04413102,1.5914752
55000,0.042475913,0.5928298
56000,0.03949418,0.6559074
57000,0.041761175,0.49842978
58000,0.0380027,1.762375
59000,0.03974779,0.39719272
60000,0.039483972,0.7513186
61000,0.03756208,2.1923482
62000,0.03647514,0.86606294
63000,0.03849957,0.59200966
64000,0.041034084,3.0519714
65000,0.041230626,1.0942317
66000,0.042614393,0.6938191
67000,0.041699193,0.5058969
68000,0.041525424,0.49413207
69000,0.042458247,1.8820438
70000,0.042765975,1.1185939
71000,0.041237023,1.0698403
72000,0.040492017,0.4451296
73000,0.042961996,0.72246104
74000,0.041236397,0.61099404
75000,0.040901694,0.752288
76000,0.040110655,0.5711703
77000,0.040727288,1.017072
78000,0.038230345,0.7118334
79000,0.03664749,0.7275971
80000,0.037000254,0.40492958
81000,0.037311684,0.9993217
82000,0.037360176,0.7074225
83000,0.0364865,0.83942187
84000,0.035631742,2.3505132
85000,0.038779117,3.4497552
86000,0.039345343,0.6813012
87000,0.035138033,0.5778102
88000,0.03580105,0.6713633
89000,0.035235517,1.3902091
90000,0.036309797,0.61334276
91000,0.03262942,1.3310215
92000,0.03553057,0.5919345
93000,0.035504222,0.3664539
94000,0.036442578,0.7878405
95000,0.040856343,0.78915447
96000,0.045680895,1.5589595
97000,0.033408843,1.0801384
98000,0.02821384,1.8525212
99000,0.027693007,1.0984194
100000,0.030945139,1.6922648
