gamesPlayed,averageTDError,weightDelta
1000,0.032179207,1.1809913
2000,0.034746308,0.68926054
3000,0.03898993,0.5491267
4000,0.042321783,0.45637676
5000,0.042873718,0.46415603
6000,0.043345097,0.41760668
7000,0.042914253,0.38675556
8000,0.042550955,0.37391403
9000,0.04105525,0.3653126
10000,0.04116701,0.32910368
11000,0.040073503,0.31258297
12000,0.03971815,0.3393777
13000,0.03632299,0.4132697
14000,0.034675337,0.42058912
15000,0.035051595,0.26509678
16000,0.033568323,0.24570273
17000,0.032562032,0.24238998
18000,0.031643715,0.23466405
19000,0.031129891,0.19113497
20000,0.030208135,0.19296934
21000,0.030497322,0.19687256
22000,0.030751048,0.14437358
23000,0.029642176,0.16775113
24000,0.029084427,0.16231592
25000,0.030156631,0.19693832
26000,0.030033043,0.16541304
27000,0.03003146,0.18598357
28000,0.029508151,0.133885
29000,0.030139795,0.14819075
30000,0.030976951,0.17031866
31000,0.028547535,0.24496582
32000,0.029314067,0.24960257
33000,0.028782919,0.13319817
34000,0.029007414,0.093919605
35000,0.028940976,0.14025909
36000,0.029668324,0.21158615
37000,0.03016029,0.12523018
38000,0.029104708,0.19291693
39000,0.029235477,0.17263342
40000,0.029888617,0.13042523
41000,0.029943768,0.14272526
42000,0.029483218,0.15393224
43000,0.02965644,0.15415864
44000,0.029775837,0.1211166
45000,0.030791873,0.18227874
46000,0.029435767,0.23703602
47000,0.028482236,0.133076
48000,0.02940052,0.11844292
49000,0.029950967,0.23821034
50000,0.029735567,0.18297519
51000,0.030592833,0.14675565
52000,0.02951269,0.15719627
53000,0.029624509,0.21374305
54000,0.03128325,0.095603086
55000,0.030762743,0.114189
56000,0.029594904,0.11602845
57000,0.029985942,0.25715518
58000,0.028800607,0.27525234
59000,0.028902,0.14906867
60000,0.028498096,0.20640089
61000,0.02934552,0.11693029
62000,0.02872261,0.14117706
63000,0.030140916,0.40183505
64000,0.030474326,0.26850897
65000,0.030750686,0.2159131
66000,0.030510439,0.13834508
67000,0.031186143,0.16948819
68000,0.030682676,0.12092141
69000,0.030339709,0.104886465
70000,0.029826187,0.1355068
71000,0.030708395,0.21430093
72000,0.029601093,0.23959918
73000,0.02952943,0.25531083
74000,0.029935468,0.13523102
75000,0.029883943,0.17857276
76000,0.029775959,0.1294199
77000,0.030138755,0.16013455
78000,0.029960155,0.17040412
79000,0.03100891,0.27544606
80000,0.02999891,0.16295557
81000,0.030338401,0.32417792
82000,0.030354619,0.33340576
83000,0.029429635,0.42078453
84000,0.029525252,0.16645119
85000,0.029117746,0.20930152
86000,0.029869739,0.30996302
87000,0.029770548,0.07885919
88000,0.030521292,0.14637734
89000,0.029628204,0.18682267
90000,0.030118119,0.45267856
91000,0.030402806,0.10074618
92000,0.030349582,0.2082899
93000,0.02924572,0.11630156
94000,0.028135661,0.45434394
95000,0.029529057,0.09030213
96000,0.029764948,0.20688282
97000,0.030282412,0.07950144
98000,0.030086048,0.3388738
99000,0.030132107,0.10917804
100000,0.030122237,0.22703713
