gamesPlayed,averageTDError,weightDelta
1000, 0.021052673, 1.6711345
2000, 0.029628754, 1.0178933
3000, 0.038715906, 0.8457392
4000, 0.04217617, 0.725935
5000, 0.04411073, 0.60402566
6000, 0.044298436, 0.6201861
7000, 0.04611298, 0.4893949
8000, 0.047272798, 0.4542222
9000, 0.05102436, 0.5233332
10000, 0.047754653, 0.4572389
11000, 0.046548177, 0.3765861
12000, 0.0483242, 0.27796513
13000, 0.046248373, 0.30827826
14000, 0.047611512, 0.23048982
15000, 0.04894204, 0.24364458
16000, 0.049999066, 0.30269125
17000, 0.050021775, 0.27656934
18000, 0.050794702, 0.20320344
19000, 0.051128183, 0.23527542
20000, 0.05276171, 0.19693913
21000, 0.05342471, 0.15711978
22000, 0.057007466, 0.21047254
23000, 0.05673252, 0.18074383
24000, 0.055340324, 0.16237472
25000, 0.055401605, 0.17985906
26000, 0.05580843, 0.14544445
27000, 0.052576084, 0.16611277
28000, 0.05276771, 0.17592512
29000, 0.052468088, 0.14730711
30000, 0.051759407, 0.1893941
31000, 0.049522433, 0.22297174
32000, 0.049517766, 0.17027858
33000, 0.04974813, 0.24934663
34000, 0.048574448, 0.1914101
35000, 0.048155166, 0.16903953
36000, 0.04890314, 0.16050903
37000, 0.04910374, 0.114675276
38000, 0.048631337, 0.16364188
39000, 0.048917234, 0.1623905
40000, 0.048313852, 0.14877836
41000, 0.04910993, 0.13501905
42000, 0.04737247, 0.14468627
43000, 0.04708277, 0.1925283
44000, 0.046460155, 0.26709136
45000, 0.047523756, 0.1922868
46000, 0.04605811, 0.22660694
47000, 0.044475645, 0.20876135
48000, 0.044391897, 0.23649736
49000, 0.04541358, 0.20296876
50000, 0.04428666, 0.2049904
51000, 0.04303868, 0.48151222
52000, 0.044338692, 0.2463331
53000, 0.04384464, 0.18587811
54000, 0.04199486, 0.32212707
55000, 0.043222416, 0.38718006
56000, 0.041348305, 0.29009247
57000, 0.041432492, 0.27913418
58000, 0.040643703, 0.2064342
59000, 0.04032668, 0.22646105
60000, 0.0386791, 0.5656296
61000, 0.03997469, 0.23705597
62000, 0.04031348, 0.18882287
63000, 0.040887598, 0.22905825
64000, 0.041258, 0.24580793
65000, 0.04025038, 0.35948038
66000, 0.040854644, 0.21408974
67000, 0.04151452, 0.26347432
68000, 0.040448967, 0.32394817
69000, 0.040604554, 0.2628694
70000, 0.040326472, 0.4614537
71000, 0.041134875, 0.28998643
72000, 0.041005936, 0.15765874
73000, 0.040019535, 0.39329425
74000, 0.04035545, 0.2194766
75000, 0.0411817, 0.26589802
76000, 0.039943658, 0.20704308
77000, 0.039703548, 0.2534902
78000, 0.041047007, 0.771142
79000, 0.039522387, 0.19701146
80000, 0.037925687, 0.6874365
81000, 0.039445028, 0.24674618
82000, 0.04223262, 0.6206004
83000, 0.04079775, 0.48459923
84000, 0.04037351, 0.17074202
85000, 0.039334007, 0.19721761
86000, 0.041138563, 0.85290277
87000, 0.04184117, 0.36171338
88000, 0.040769223, 0.5897415
89000, 0.040292177, 0.34118432
90000, 0.03925195, 0.6920232
91000, 0.03885951, 0.30627352
92000, 0.038209457, 0.4953724
93000, 0.03918103, 0.4887441
94000, 0.03836304, 0.51804715
95000, 0.038896427, 0.37007025
96000, 0.041349635, 0.63930404
97000, 0.03910584, 0.9478688
98000, 0.03761666, 0.24583335
99000, 0.039710835, 1.3664813
100000, 0.040031355, 0.4593213
101000, 0.03947634, 1.4480036
102000, 0.038274653, 0.19509771
103000, 0.039160475, 0.50846016
104000, 0.03975649, 0.33736756
105000, 0.038799334, 0.47233036
106000, 0.03823694, 0.95041245
107000, 0.03808252, 0.51340127
108000, 0.036016922, 0.5451209
109000, 0.036120612, 0.7768413
110000, 0.03639611, 0.2769659
111000, 0.03644639, 0.51419306
112000, 0.038754858, 0.2855635
113000, 0.036583763, 0.48301768
114000, 0.039894093, 1.2276185
115000, 0.038046617, 0.85913193
116000, 0.03889181, 0.33864558
117000, 0.037696816, 0.6756469
118000, 0.03678402, 1.5161095
119000, 0.032969795, 0.6313997
120000, 0.03463114, 0.28774095
121000, 0.033858333, 0.6951871
122000, 0.034634065, 0.2282438
123000, 0.034060862, 0.49479282
124000, 0.034088444, 0.3820869
125000, 0.036186896, 1.1531874
126000, 0.03829531, 1.6706295
127000, 0.03648354, 0.5031685
128000, 0.03543964, 1.1901609
129000, 0.035548605, 1.2247638
130000, 0.036525644, 1.6456498
131000, 0.038468022, 0.54209954
132000, 0.037965078, 0.20060061
133000, 0.03592442, 1.2338874
134000, 0.034162097, 0.9225543
135000, 0.035290744, 0.16524279
136000, 0.033677876, 0.6471507
137000, 0.036403507, 1.5884581
138000, 0.03837781, 0.43203962
139000, 0.037083775, 1.7933682
140000, 0.031814605, 2.2262452
141000, 0.030204484, 1.8010526
142000, 0.031126754, 0.8186791
143000, 0.030989707, 1.3234261
144000, 0.03169355, 0.32045588
145000, 0.03179048, 0.35200506
146000, 0.031504743, 0.5629974
147000, 0.03472031, 1.0228506
148000, 0.032962136, 0.8601091
149000, 0.0359844, 3.2862391
150000, 0.03958683, 2.7798185
151000, 0.039592724, 0.33350703
152000, 0.038088325, 0.4012383
153000, 0.035043124, 2.181778
154000, 0.034727737, 0.728792
155000, 0.035388883, 0.5510099
156000, 0.03345174, 1.4585019
157000, 0.030882243, 2.3441403
158000, 0.031160766, 1.2361412
159000, 0.029340567, 2.0812438
160000, 0.029380716, 2.841736
161000, 0.028659998, 3.0071645
162000, 0.039109427, 4.655214
163000, 0.049028624, 10.643346
164000, 0.03881899, 2.0418193
165000, 0.037491255, 0.45570406
166000, 0.035179928, 1.7739694
167000, 0.034683146, 1.1813499
168000, 0.033184037, 0.5368946
169000, 0.032701112, 0.43306023
