gamesPlayed,averageTDError,weightDelta
1000, 0.02522743, 1.330854
2000, 0.03827536, 0.95367277
3000, 0.03651417, 1.0614156
4000, 0.0322298, 0.8569385
5000, 0.025178326, 0.70222634
6000, 0.020870132, 0.6340744
7000, 0.021121195, 0.5366057
8000, 0.0235672, 0.45637062
9000, 0.024903998, 0.38627243
10000, 0.025982387, 0.36560917
11000, 0.025478667, 0.35897198
12000, 0.028669989, 0.55227906
13000, 0.029870147, 0.55846226
14000, 0.03161715, 0.52660626
15000, 0.032528788, 0.52329403
16000, 0.03126939, 0.5550758
17000, 0.031198468, 0.4785386
18000, 0.034718968, 0.43188614
19000, 0.033621237, 0.31783828
20000, 0.0339507, 0.2854986
21000, 0.034728713, 0.27232736
22000, 0.035111893, 0.24801013
23000, 0.03572768, 0.2511305
24000, 0.035006143, 0.20887491
25000, 0.035889503, 0.20922515
26000, 0.035554692, 0.23807111
27000, 0.035334136, 0.2630198
28000, 0.034730736, 0.19729663
29000, 0.034864917, 0.20848264
30000, 0.03439069, 0.53299034
31000, 0.034450836, 0.44586936
32000, 0.03358753, 0.35801178
33000, 0.031420503, 0.27978596
34000, 0.03302956, 0.250852
35000, 0.031550042, 0.2682356
36000, 0.031500198, 0.22472951
37000, 0.03053885, 0.21263155
38000, 0.029287644, 0.2561747
39000, 0.028997956, 0.22698477
40000, 0.029140616, 0.4263539
41000, 0.029463956, 0.3962214
42000, 0.029194297, 0.34319064
43000, 0.029710146, 0.27956265
44000, 0.029533962, 0.30845276
45000, 0.029471176, 0.26122445
46000, 0.02938733, 0.2452934
47000, 0.029474035, 0.21485204
48000, 0.029489296, 0.20815332
49000, 0.030099042, 0.29116693
50000, 0.030011233, 0.3155305
51000, 0.03014725, 0.35605976
52000, 0.03032584, 0.19006637
53000, 0.029282061, 0.17607817
54000, 0.029461073, 0.14217812
55000, 0.029229911, 0.1502514
56000, 0.029037697, 0.19205974
57000, 0.028537856, 0.18999691
58000, 0.029838853, 0.13285561
59000, 0.028367795, 0.1875942
60000, 0.02851639, 0.23056407
61000, 0.029368557, 0.26319727
62000, 0.027894966, 0.37361562
63000, 0.028213687, 0.27053484
64000, 0.02812558, 0.2385459
65000, 0.028436832, 0.15526931
66000, 0.027926011, 0.12900847
67000, 0.02737033, 0.33920103
68000, 0.027363928, 0.38989395
69000, 0.027567638, 0.17654964
70000, 0.02675212, 0.3059109
71000, 0.027451754, 0.32213598
72000, 0.02774825, 0.45551887
73000, 0.027884688, 0.28268105
74000, 0.027261956, 0.23931545
75000, 0.026493423, 0.7471704
76000, 0.027274221, 0.44620177
77000, 0.027545413, 0.5563048
78000, 0.027212951, 0.43281484
79000, 0.026696876, 0.49080953
80000, 0.026758041, 0.18926461
81000, 0.027373241, 0.22903508
82000, 0.027058832, 0.57279867
