gamesPlayed,averageTDError,weightDelta
1000, 0.032379165, 1.581943
2000, 0.03792063, 0.9357691
3000, 0.038418107, 0.8547405
4000, 0.039179076, 0.94899946
5000, 0.04061698, 0.83892876
6000, 0.044713784, 0.6260318
7000, 0.047096718, 0.556491
8000, 0.048641935, 0.43147478
9000, 0.04807852, 0.4761107
10000, 0.047954414, 0.34876433
11000, 0.048943877, 0.34713522
12000, 0.05232281, 0.41873205
13000, 0.054469213, 0.7333192
14000, 0.050830126, 0.8043805
15000, 0.053344436, 0.50744796
16000, 0.054137617, 0.36421612
17000, 0.054709204, 0.3595412
18000, 0.053722456, 0.26882884
19000, 0.054360047, 0.25836834
20000, 0.054392938, 0.39204115
21000, 0.060817454, 0.99876875
22000, 0.058592588, 1.0469896
23000, 0.055649802, 0.6816884
24000, 0.05383692, 0.5287335
25000, 0.053835895, 0.39860016
26000, 0.05311418, 0.31914654
27000, 0.052825354, 0.27091584
28000, 0.052067365, 0.23488832
29000, 0.052154593, 0.23785831
30000, 0.051200435, 0.25311545
31000, 0.050975777, 0.2335373
32000, 0.050266035, 0.22101101
33000, 0.049548615, 0.22798193
34000, 0.04956095, 0.1868812
35000, 0.04960527, 0.23013481
36000, 0.049247637, 0.18178721
37000, 0.049467977, 0.3142709
38000, 0.04979158, 0.21047375
39000, 0.048711173, 0.25856292
40000, 0.048843313, 0.17724206
41000, 0.04816426, 0.16741107
42000, 0.048070457, 0.24021783
43000, 0.047214128, 0.20123746
44000, 0.04663112, 0.1668694
45000, 0.047106154, 0.29500768
46000, 0.047036633, 0.19866432
47000, 0.047089554, 0.30216515
48000, 0.04801185, 0.18682408
49000, 0.04761502, 0.15990937
50000, 0.04897222, 0.2942314
51000, 0.049302764, 0.33417395
52000, 0.049398314, 0.6159296
53000, 0.049979318, 0.32881588
54000, 0.04954225, 0.3089309
55000, 0.05058343, 0.22935066
56000, 0.049363196, 0.4363966
57000, 0.052055027, 0.3452738
58000, 0.0487702, 0.4631083
59000, 0.047388766, 0.4026349
60000, 0.046446983, 0.3857449
61000, 0.046825126, 0.33207378
62000, 0.046111554, 0.39528567
63000, 0.04612629, 0.2952909
64000, 0.044127468, 0.3751909
65000, 0.04361425, 0.3786696
66000, 0.044866703, 0.35010514
67000, 0.045396116, 0.3507674
68000, 0.044113025, 0.22830494
69000, 0.04482964, 0.19734804
70000, 0.042868964, 0.20713338
71000, 0.043317176, 0.18538359
72000, 0.042765606, 0.22729482
73000, 0.04308154, 0.20398588
74000, 0.04309581, 0.4226415
75000, 0.040393464, 0.19203928
76000, 0.04140915, 0.26904482
77000, 0.041002702, 0.39066666
78000, 0.040522344, 0.5526907
79000, 0.039803244, 0.48268458
80000, 0.038098637, 0.5176229
81000, 0.035897076, 1.0886202
82000, 0.030851033, 1.5833147
83000, 0.031624462, 0.7522079
84000, 0.032013398, 0.48495454
85000, 0.030687852, 0.61364913
86000, 0.03282886, 0.6662825
87000, 0.03449879, 0.72085834
88000, 0.03385355, 0.494905
89000, 0.037401002, 0.7365335
90000, 0.036771964, 0.3800824
91000, 0.03601643, 0.7564242
92000, 0.036719196, 0.29689574
93000, 0.036963835, 0.35950896
94000, 0.037668563, 0.22563846
95000, 0.03877125, 0.24924497
96000, 0.03770617, 0.64051783
97000, 0.036142327, 0.35872677
98000, 0.035674796, 0.55317736
99000, 0.033924203, 0.37230527
100000, 0.034702793, 0.5400747
101000, 0.03503711, 0.20073047
102000, 0.03440087, 0.23311703
103000, 0.034190208, 0.17756787
104000, 0.03374074, 0.19477043
105000, 0.034186643, 0.17322342
106000, 0.03298967, 0.48580596
107000, 0.032541994, 0.41862455
108000, 0.032820232, 0.19571008
109000, 0.03173683, 2.7313735
110000, 0.028182264, 3.794459
111000, 0.038710546, 1.0465454
112000, 0.046312008, 0.86682427
113000, 0.042489976, 0.85914487
114000, 0.0383275, 0.63452995
115000, 0.036772683, 0.53529316
116000, 0.037026722, 0.46125796
117000, 0.046606075, 1.8247626
118000, 0.047761183, 0.38269648
119000, 0.051342595, 1.7715553
120000, 0.051978897, 1.0159899
121000, 0.05220343, 1.1566355
122000, 0.050353933, 2.0672615
123000, 0.050554957, 1.0305136
124000, 0.04956675, 0.37931368
125000, 0.046280965, 0.48118162
126000, 0.04769713, 0.39436892
127000, 0.046531923, 0.4468711
128000, 0.04728159, 0.32833615
129000, 0.047290836, 0.59535843
130000, 0.048741493, 1.4146239
131000, 0.046763495, 2.2035413
132000, 0.0479114, 0.80661917
133000, 0.0459622, 0.54716927
134000, 0.04654789, 0.28510612
135000, 0.046580866, 0.5889062
136000, 0.047043387, 2.1522965
137000, 0.047269728, 0.86479706
138000, 0.044989973, 5.0808606
139000, 0.018770494, 2.8977644
140000, 0.022168238, 0.29383332
141000, 0.025410492, 0.24314392
142000, 0.026803037, 0.21706773
143000, 0.028588949, 0.27234036
144000, 0.026043175, 0.25002602
145000, 0.029133266, 0.25144178
146000, 0.027592408, 0.25750762
147000, 0.029621812, 0.33440182
148000, 0.030130105, 0.39979956
149000, 0.03040347, 0.24620615
150000, 0.030164419, 0.2646431
151000, 0.028201645, 0.1753413
152000, 0.030206973, 0.20792128
153000, 0.028295375, 0.21846099
154000, 0.029388366, 0.26461235
155000, 0.026861606, 0.21852389
156000, 0.028696144, 0.33715168
157000, 0.028493123, 0.25978318
158000, 0.026602197, 0.30825633
159000, 0.026801487, 0.16552915
160000, 0.028928148, 0.22601463
161000, 0.02793532, 0.22514473
162000, 0.024092188, 0.2363668
163000, 0.024481371, 0.17080092
164000, 0.02322832, 0.2232399
165000, 0.02225259, 0.23758657
166000, 0.022793055, 0.20555107
167000, 0.01938357, 0.13145137
168000, 0.02463197, 0.3371657
169000, 0.024871802, 0.14894357
170000, 0.021770244, 0.2231517
171000, 0.021448784, 0.33398506
172000, 0.019494021, 0.5099836
173000, 0.023779202, 0.40799206
174000, 0.02489842, 0.13011257
175000, 0.025613133, 0.14345779
176000, 0.016465226, 0.20361875
177000, 0.019651297, 0.25985086
178000, 0.025538886, 0.36389968
179000, 0.023484092, 0.51163435
180000, 0.021076694, 0.5302595
181000, 0.026047545, 0.3840252
182000, 0.025354637, 0.2256294
183000, 0.025940275, 0.15600213
184000, 0.024563363, 0.30784827
185000, 0.02767764, 0.26145855
186000, 0.025670651, 0.15826447
187000, 0.029292444, 0.19003417
188000, 0.026797732, 0.14211917
189000, 0.024649335, 0.1574005
190000, 0.024405137, 0.30104387
191000, 0.023633992, 0.4116451
192000, 0.020805158, 0.124638125
193000, 0.019442903, 0.057273302
194000, 0.022433084, 0.12279007
195000, 0.0178946, 0.06481177
196000, 0.019888876, 0.19605447
197000, 0.019268574, 0.43678087
198000, 0.01878913, 0.24387494
199000, 0.018050002, 0.3028377
200000, 0.018962832, 0.12256347
