gamesPlayed,averageTDError,weightDelta
1000, 0.03716753, 1.47007
2000, 0.036902547, 0.89376146
3000, 0.039146256, 0.75628823
4000, 0.040911674, 0.6466015
5000, 0.04293058, 0.65309817
6000, 0.045755353, 0.5316209
7000, 0.04720663, 0.6047721
8000, 0.04938241, 0.4784089
9000, 0.051254433, 0.31621057
10000, 0.053515274, 0.33493418
11000, 0.052967884, 0.40309274
12000, 0.049332313, 0.31801483
13000, 0.049616992, 0.3776325
14000, 0.049273215, 0.37654102
15000, 0.04860417, 0.33301288
16000, 0.04869284, 0.2612942
17000, 0.047078654, 0.26391584
18000, 0.04810812, 0.2632867
19000, 0.045849573, 0.28353056
20000, 0.045955464, 0.29549214
21000, 0.046729565, 0.22971784
22000, 0.043815345, 0.21184231
23000, 0.04568949, 0.2293466
24000, 0.044973098, 0.22508745
25000, 0.045373436, 0.19121933
26000, 0.046478935, 0.1792382
27000, 0.04517447, 0.17924276
28000, 0.046293575, 0.16047277
29000, 0.046263587, 0.14285459
30000, 0.045172885, 0.15923843
31000, 0.046051648, 0.15947731
32000, 0.04615941, 0.20889458
33000, 0.048305783, 0.39155355
34000, 0.051080458, 0.47849286
35000, 0.052123904, 0.3574561
36000, 0.05202259, 0.33586413
37000, 0.05010881, 0.30554488
38000, 0.04835084, 0.22249645
39000, 0.04763806, 0.23899087
40000, 0.047110487, 0.25527903
41000, 0.046102725, 0.19464584
42000, 0.047002286, 0.16562223
43000, 0.045687947, 0.17425622
44000, 0.046042524, 0.16308409
45000, 0.045550533, 0.1484955
46000, 0.044945054, 0.1528623
47000, 0.045685764, 0.17102376
48000, 0.04551605, 0.19402151
49000, 0.04414603, 0.23508473
50000, 0.045573995, 0.1721109
51000, 0.04532933, 0.23402195
52000, 0.044293787, 0.13991506
53000, 0.045396533, 0.13451746
54000, 0.04571527, 0.15861943
55000, 0.043849573, 0.20123142
56000, 0.04403996, 0.20740925
57000, 0.046242278, 0.40517366
58000, 0.04655002, 0.32258144
59000, 0.045563944, 0.2511065
60000, 0.045666132, 0.24917012
61000, 0.047262125, 0.20791937
62000, 0.046037856, 0.19501252
63000, 0.04474303, 0.2420891
64000, 0.047424138, 0.32857588
65000, 0.045616265, 0.34349787
66000, 0.046808437, 0.44595587
67000, 0.04634398, 0.19620226
68000, 0.042563822, 0.6979311
69000, 0.04445319, 0.30028406
70000, 0.046724334, 0.49824813
71000, 0.043976475, 0.3668056
72000, 0.04457863, 0.3120471
73000, 0.04497566, 0.4608168
74000, 0.045355327, 0.1962739
75000, 0.04611825, 0.2311555
76000, 0.04468545, 0.414585
77000, 0.045104917, 0.41794825
78000, 0.043712635, 0.37863958
79000, 0.045689825, 0.24547954
80000, 0.043942828, 0.23011026
81000, 0.043546274, 0.37109855
82000, 0.044963732, 0.23312902
83000, 0.046910092, 0.8506538
84000, 0.04764078, 0.586546
85000, 0.04925928, 0.6522188
86000, 0.04999617, 0.5829718
87000, 0.05435222, 0.8358377
88000, 0.059836864, 0.623602
89000, 0.0566202, 0.49763742
90000, 0.05824988, 0.4539913
91000, 0.059369966, 0.37789068
92000, 0.058286585, 0.41715863
93000, 0.058114097, 0.37996253
94000, 0.05874088, 0.3193542
95000, 0.05995093, 0.33080742
96000, 0.058230735, 0.3166159
97000, 0.05817244, 0.43787912
98000, 0.058357656, 0.32933617
99000, 0.060867827, 0.36122504
100000, 0.05855863, 0.29845524
101000, 0.062474992, 0.55898875
102000, 0.061766054, 0.3125795
103000, 0.060358416, 0.2849272
104000, 0.06042059, 0.29137722
105000, 0.060670167, 0.490243
106000, 0.06070745, 0.35407063
107000, 0.060807582, 0.3248463
108000, 0.061422043, 0.25013936
109000, 0.06317574, 0.27947146
110000, 0.062735036, 0.28013846
111000, 0.06288217, 0.30123535
112000, 0.063364744, 0.74689347
113000, 0.062061988, 0.50750667
114000, 0.062213108, 0.5728271
115000, 0.068852216, 1.30667
116000, 0.06642893, 0.5553847
117000, 0.06681888, 0.5748816
118000, 0.06315751, 0.38440835
119000, 0.06215097, 0.36166006
120000, 0.063136145, 0.62805986
121000, 0.065523304, 0.584137
122000, 0.06513406, 0.45948422
123000, 0.067786254, 0.5932269
124000, 0.06262108, 0.73831385
125000, 0.06521198, 0.6478845
126000, 0.06314769, 0.57172656
127000, 0.065059796, 0.82451725
128000, 0.06426299, 0.46669808
129000, 0.06632812, 0.4124245
130000, 0.06429409, 0.5039739
131000, 0.068029545, 0.36155313
132000, 0.06495121, 0.3930283
133000, 0.06514647, 0.5913899
134000, 0.06545417, 0.49180087
135000, 0.06800944, 0.8823872
136000, 0.063299015, 0.47548535
137000, 0.06441731, 0.5939312
138000, 0.066558294, 0.4064993
139000, 0.065723754, 0.58946925
140000, 0.06572418, 0.6554947
141000, 0.065196306, 0.42812896
142000, 0.06415088, 0.43568984
143000, 0.06604372, 0.6358059
144000, 0.066329524, 0.54134876
145000, 0.061176978, 1.0600063
146000, 0.064519644, 0.44690752
147000, 0.060902767, 1.3167708
148000, 0.035698123, 3.6204774
149000, 0.023569876, 0.7613344
150000, 0.026427062, 0.62214565
151000, 0.029013354, 0.63711154
152000, 0.033493668, 0.7084337
153000, 0.039082903, 0.81582856
154000, 0.041656185, 0.86654514
155000, 0.04206581, 0.69929993
156000, 0.043274, 0.63273025
157000, 0.04266773, 0.6688144
158000, 0.043963794, 0.6246254
159000, 0.045503236, 0.8024785
160000, 0.044405647, 0.673123
161000, 0.045421515, 0.4788382
162000, 0.045203898, 0.90985405
163000, 0.04351278, 0.93544793
164000, 0.038940337, 1.9842842
165000, 0.040526766, 0.66559726
166000, 0.040522132, 1.1718085
167000, 0.040657528, 0.46573183
168000, 0.041334532, 0.9355003
169000, 0.041941863, 0.40783522
170000, 0.04223232, 0.4924675
171000, 0.041153785, 0.3364816
172000, 0.041213766, 1.1060101
173000, 0.041685846, 0.36576042
174000, 0.043074712, 0.9596709
175000, 0.04349567, 2.4949906
176000, 0.04359105, 1.4462363
177000, 0.043752465, 0.50357467
178000, 0.043252613, 0.57980853
179000, 0.044852905, 0.45108354
180000, 0.04515226, 1.3841032
181000, 0.04573868, 0.5038934
182000, 0.04652581, 0.44741917
183000, 0.04629913, 1.0591631
184000, 0.045925673, 1.6891271
185000, 0.047192786, 0.5646129
186000, 0.043971844, 1.857492
187000, 0.044826463, 0.40875602
188000, 0.043823574, 0.30858257
189000, 0.043252178, 0.5346846
190000, 0.044015616, 0.4415388
191000, 0.04417892, 1.1386526
192000, 0.04468076, 1.290235
193000, 0.043224376, 0.22434491
194000, 0.043511305, 0.89286673
195000, 0.044995636, 1.9142429
196000, 0.044190086, 0.7014382
197000, 0.04509462, 0.21366695
198000, 0.04243432, 0.8616473
199000, 0.044733707, 0.20644045
200000, 0.04467462, 1.942795
