gamesPlayed,averageTDError,weightDelta
1000, 0.030293508, 1.5597937
2000, 0.036251582, 0.8908267
3000, 0.03774387, 0.80808586
4000, 0.04034245, 0.6176584
5000, 0.04194081, 0.5656051
6000, 0.042944603, 0.5372548
7000, 0.04288692, 0.4726181
8000, 0.041212063, 0.37924352
9000, 0.038669806, 0.40715748
10000, 0.03900523, 0.5107263
11000, 0.040546775, 0.5782867
12000, 0.03907534, 0.4418403
13000, 0.038640123, 0.50663894
14000, 0.038100038, 0.49954712
15000, 0.036307905, 0.41384095
16000, 0.035353065, 0.3601762
17000, 0.036045097, 0.33013758
18000, 0.03698473, 0.3259778
19000, 0.03795339, 0.34638694
20000, 0.037254054, 0.3133745
21000, 0.03563547, 0.35245204
22000, 0.03448101, 0.39895564
23000, 0.034298014, 0.31152502
24000, 0.033359423, 0.26548967
25000, 0.03392513, 0.30366197
26000, 0.032193836, 0.30325246
27000, 0.033572793, 0.31017554
28000, 0.03225609, 0.27811888
29000, 0.0345388, 0.29979774
30000, 0.03681269, 0.39266133
31000, 0.035710093, 0.3509651
32000, 0.03604559, 0.3601963
33000, 0.035532653, 0.33936408
34000, 0.035147708, 0.32174805
35000, 0.034704484, 0.38382748
36000, 0.034947757, 0.3904066
37000, 0.035213497, 0.38349777
38000, 0.03450471, 0.34917033
39000, 0.034484252, 0.34451687
40000, 0.03564006, 0.31248936
41000, 0.035338897, 0.33092052
42000, 0.03688774, 0.43328607
43000, 0.0357645, 0.51395035
44000, 0.035717126, 0.3651274
45000, 0.037175335, 0.48196328
46000, 0.03742278, 0.7827852
47000, 0.037444968, 0.36612785
48000, 0.03679201, 0.40665513
49000, 0.036400974, 0.27382514
50000, 0.03726109, 0.50742185
51000, 0.037173882, 0.25745383
52000, 0.03639771, 0.6765327
53000, 0.036907624, 0.26854178
54000, 0.037252843, 0.30361038
55000, 0.0366942, 0.39090115
56000, 0.037028644, 0.35560596
57000, 0.03620872, 0.34281993
58000, 0.03653765, 0.4026279
59000, 0.03462027, 1.2577162
60000, 0.033355836, 0.34633327
61000, 0.03414904, 0.95543206
62000, 0.034766674, 0.80435586
63000, 0.035474636, 0.34199274
64000, 0.036947723, 0.40561897
65000, 0.03589906, 0.6310705
66000, 0.035224304, 0.32312244
67000, 0.03536532, 0.35232028
68000, 0.03743846, 0.17772742
69000, 0.037811957, 0.51452607
70000, 0.037497208, 0.43298438
71000, 0.03801588, 0.24389823
72000, 0.037406743, 0.20843914
73000, 0.038280606, 0.48742172
74000, 0.03699501, 0.65148795
75000, 0.035755206, 0.19878803
76000, 0.0362556, 0.8889772
77000, 0.037279427, 0.16091537
78000, 0.038426325, 0.36599615
79000, 0.038319316, 0.27788317
80000, 0.038415555, 0.6334729
81000, 0.03987, 0.7134297
82000, 0.038722463, 0.23377134
83000, 0.03737476, 0.72324723
84000, 0.035759494, 0.21921624
