gamesPlayed,averageTDError,weightDelta
1000, 0.023812832, 1.6512555
2000, 0.03039637, 1.010562
3000, 0.032704767, 0.99963695
4000, 0.03171483, 0.9840968
5000, 0.030708712, 0.68365633
6000, 0.031774092, 0.62343293
7000, 0.029814238, 0.5151385
8000, 0.028609144, 0.3975228
9000, 0.027004343, 0.5106232
10000, 0.02682659, 0.44736105
11000, 0.027007041, 0.4757287
12000, 0.028239686, 0.33064598
13000, 0.0276988, 0.31436184
14000, 0.026982704, 0.32144648
15000, 0.02841901, 0.28583154
16000, 0.029236842, 0.24199368
17000, 0.030907694, 0.26323485
18000, 0.02719157, 0.35323787
19000, 0.029867154, 0.22177584
20000, 0.027451063, 0.2222867
21000, 0.026127564, 0.19374661
22000, 0.027239487, 0.18362239
23000, 0.026708974, 0.23874162
24000, 0.027862454, 0.30264732
25000, 0.029859195, 0.21437818
26000, 0.027742276, 0.2178917
27000, 0.02989879, 0.21793142
28000, 0.02963484, 0.18474951
29000, 0.030243143, 0.2873163
30000, 0.028127277, 0.39651573
31000, 0.026559286, 0.60148317
32000, 0.0283301, 0.494172
33000, 0.02958478, 0.49686873
34000, 0.023960276, 0.46281555
35000, 0.02307298, 0.2673677
36000, 0.025284685, 0.284363
37000, 0.026046228, 0.34395802
38000, 0.02809473, 0.49807087
39000, 0.021245314, 0.58066726
40000, 0.022147588, 0.29782447
41000, 0.02159767, 0.3406846
42000, 0.02177842, 0.28505436
43000, 0.021538533, 0.2952181
44000, 0.019762203, 0.24744584
45000, 0.021675164, 0.3210813
46000, 0.021286283, 0.22567669
47000, 0.019675087, 0.25824547
48000, 0.019543478, 0.61464614
49000, 0.017013822, 0.41269213
50000, 0.01665653, 0.42578426
51000, 0.016072715, 0.276474
52000, 0.016024342, 0.29030067
53000, 0.014720762, 0.67172015
54000, 0.015386628, 0.2730947
55000, 0.017390171, 0.71282965
56000, 0.017216735, 0.20914234
57000, 0.016109467, 0.59427327
58000, 0.015903546, 0.37744513
59000, 0.014393646, 0.5963468
60000, 0.013037459, 1.0692611
61000, 0.012401672, 7.8119936
62000, 0.017103437, 1.0294533
63000, 0.014396643, 0.35010076
64000, 0.013730548, 0.2972433
65000, 0.014923505, 0.23761114
66000, 0.015757084, 0.27236328
67000, 0.016820712, 0.17605193
68000, 0.01710959, 0.25959358
69000, 0.01780844, 0.18657945
70000, 0.017482603, 0.16574131
71000, 0.018097173, 0.20024352
72000, 0.017321926, 0.17198437
73000, 0.017120758, 0.18773976
74000, 0.016867872, 0.1885023
75000, 0.019384788, 0.2752169
76000, 0.019232275, 0.2402507
77000, 0.02064582, 0.25889668
78000, 0.022974692, 0.30401063
79000, 0.024337314, 0.28620014
80000, 0.022495134, 0.24700138
81000, 0.021794442, 0.25063804
82000, 0.022940196, 0.27340493
83000, 0.024345519, 0.2708139
84000, 0.025287664, 0.27992326
85000, 0.024880935, 0.27803177
86000, 0.021331338, 0.25904253
87000, 0.021286603, 0.2226488
88000, 0.022482267, 0.1977313
89000, 0.022438867, 0.16296586
90000, 0.023947315, 0.14981945
91000, 0.025420727, 0.15530321
92000, 0.026601361, 0.16764216
93000, 0.027218271, 0.18261828
94000, 0.025512628, 0.2353506
95000, 0.025339866, 0.14116453
96000, 0.027648197, 0.17227723
97000, 0.019550806, 0.20719872
98000, 0.013435271, 0.30615613
99000, 0.011892533, 0.2894743
100000, 0.010543349, 0.18012017
101000, 0.010537462, 0.10418737
102000, 0.011477817, 0.11011344
103000, 0.010639497, 0.103196576
104000, 0.011011998, 0.05680764
105000, 0.011989441, 0.061703242
106000, 0.011824596, 0.046941254
107000, 0.012448249, 0.17653573
108000, 0.011884529, 0.13892552
109000, 0.0132342195, 0.09827535
110000, 0.0130794095, 0.0823546
111000, 0.012228022, 0.040495686
112000, 0.012783988, 0.12461809
113000, 0.011752258, 0.124523096
114000, 0.011376728, 0.14063677
115000, 0.010045973, 0.14057922
116000, 0.01157813, 0.18053374
117000, 0.009820919, 0.188344
118000, 0.01172436, 0.050790064
119000, 0.010262863, 0.04287886
120000, 0.0104163, 0.047976296
121000, 0.011338529, 0.12953402
122000, 0.0109678805, 0.13775128
123000, 0.009284858, 0.03592626
124000, 0.009564831, 0.2583443
125000, 0.008588091, 0.2249682
126000, 0.010718709, 0.05872132
127000, 0.0090192575, 0.16363849
128000, 0.008742989, 0.16246602
129000, 0.008769447, 0.030140301
130000, 0.009093034, 0.05125763
131000, 0.009450926, 0.07674605
132000, 0.008453281, 0.041505206
133000, 0.007833831, 0.17312881
134000, 0.009908031, 0.14551249
135000, 0.009429838, 0.04579756
136000, 0.009095408, 0.043377664
137000, 0.00785029, 0.1552637
138000, 0.009019644, 0.024856083
139000, 0.007993737, 0.22907169
140000, 0.008599173, 0.065582804
141000, 0.008513096, 0.046186894
142000, 0.0077920645, 0.02196076
143000, 0.008305585, 0.11769444
144000, 0.009581784, 0.11361349
145000, 0.007508131, 0.12392899
146000, 0.011913021, 0.15794356
147000, 0.009327053, 0.05725167
148000, 0.01104921, 0.20145321
149000, 0.013970377, 0.25373143
150000, 0.013413196, 0.15700936
151000, 0.013787263, 0.22548635
152000, 0.015254256, 0.24332103
153000, 0.014255254, 0.084357455
154000, 0.014076412, 0.07695008
155000, 0.0137989465, 0.21648782
156000, 0.014172724, 0.18919289
157000, 0.014732942, 0.15868129
158000, 0.014474062, 0.20419908
159000, 0.015633957, 0.118739635
160000, 0.014978942, 0.09826778
161000, 0.013856363, 0.09690122
162000, 0.013558008, 0.18625315
163000, 0.011053713, 0.22091748
164000, 0.012421428, 0.24139164
165000, 0.011050811, 0.17841703
166000, 0.009868243, 0.14269698
167000, 0.009076877, 0.13621497
168000, 0.007911452, 0.17366312
169000, 0.008496513, 0.24002497
170000, 0.00859747, 0.086890094
171000, 0.006408981, 0.41376773
172000, 0.006482006, 0.08197061
173000, 0.009277039, 0.044398826
174000, 0.010072109, 0.07360496
175000, 0.011275779, 0.2111282
176000, 0.010663967, 0.08958301
177000, 0.0076578655, 0.2521647
178000, 0.0108111175, 0.14890681
179000, 0.008852536, 0.03743943
180000, 0.013253722, 0.075893536
181000, 0.011627992, 0.039930888
182000, 0.012795677, 0.055835202
183000, 0.012355638, 0.07167315
184000, 0.0127656115, 0.13785659
185000, 0.012467702, 0.17243332
186000, 0.011968461, 0.081517175
187000, 0.012640856, 0.0639864
188000, 0.011975706, 0.05302066
189000, 0.01160236, 0.14578456
190000, 0.01108602, 0.24593051
191000, 0.008407884, 0.30088407
192000, 0.012034029, 0.03693616
193000, 0.010736524, 0.17689268
194000, 0.010496372, 0.17304306
195000, 0.0098617105, 0.18641049
196000, 0.010482292, 0.06387995
197000, 0.00875796, 0.13762128
198000, 0.009559061, 0.18290849
199000, 0.008999628, 0.22716798
200000, 0.010183716, 0.2330728
