gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
1000, 0.031426907, 0.5904817, 3.7751166E-4, 0.10211723, 0.5604384, 629, 0
2000, 0.029510073, 0.23167968, 3.5462555E-4, 0.102093466, 0.57392895, 630, 0
3000, 0.03114592, 0.17813237, 3.1755958E-4, 0.10210108, 0.56511354, 631, 0
4000, 0.033259943, 0.157965, 2.893508E-4, 0.10215845, 0.56273854, 630, 0
5000, 0.035155002, 0.14329004, 2.736952E-4, 0.10224875, 0.56521916, 630, 0
6000, 0.036517728, 0.13094956, 2.6809316E-4, 0.10236822, 0.5760768, 631, 0
7000, 0.03740361, 0.12751724, 2.661017E-4, 0.10250463, 0.5866635, 631, 0
8000, 0.038215853, 0.12363365, 2.6089314E-4, 0.102657914, 0.59999144, 632, 0
9000, 0.038942263, 0.12627022, 2.6019063E-4, 0.10283652, 0.64348185, 629, 0
10000, 0.03949069, 0.12102235, 2.593279E-4, 0.103025496, 0.6830496, 629, 0
11000, 0.04058437, 0.11578494, 2.5705004E-4, 0.10321275, 0.7158852, 630, 0
12000, 0.04108533, 0.11528648, 2.5404102E-4, 0.10341436, 0.74600196, 629, 0
13000, 0.041253213, 0.11726284, 2.4501624E-4, 0.10362279, 0.80802804, 629, 0
14000, 0.04177319, 0.118581384, 2.2976703E-4, 0.10384094, 0.87003654, 631, 0
15000, 0.042229358, 0.118671514, 2.1133453E-4, 0.1040618, 0.93588585, 630, 0
16000, 0.042595938, 0.1117244, 1.9533643E-4, 0.10428664, 0.9924608, 630, 0
17000, 0.04284337, 0.11600841, 1.7220249E-4, 0.10451527, 1.0521857, 630, 0
18000, 0.043230005, 0.10492629, 1.5444339E-4, 0.10474354, 1.1028296, 630, 0
19000, 0.0434725, 0.113039955, 1.2728128E-4, 0.10497248, 1.1578044, 630, 0
20000, 0.043842662, 0.110787414, 1.009447E-4, 0.10520579, 1.2134924, 630, 0
21000, 0.043571535, 0.112113744, 7.091275E-5, 0.105436936, 1.2656374, 629, 0
22000, 0.044634007, 0.10607052, 4.3863158E-5, 0.105650574, 1.3139195, 629, 0
23000, 0.045183845, 0.10637573, 1.316572E-5, 0.10586517, 1.3588798, 629, 0
24000, 0.045311432, 0.11614113, -2.420867E-5, 0.10608529, 1.4074732, 629, 0
25000, 0.045073286, 0.10666842, -5.514994E-5, 0.1063027, 1.4470817, 629, 0
26000, 0.04570049, 0.10892247, -9.436161E-5, 0.10650298, 1.4907256, 629, 0
27000, 0.04636903, 0.09936846, -1.2363621E-4, 0.10670013, 1.5268326, 630, 0
28000, 0.04676674, 0.10933409, -1.6364657E-4, 0.10689109, 1.5706617, 630, 0
29000, 0.04707286, 0.098200984, -1.9440292E-4, 0.107082315, 1.6021891, 629, 0
30000, 0.047967322, 0.095732234, -2.3102468E-4, 0.10725679, 1.635291, 630, 0
31000, 0.04839277, 0.094939806, -2.6639845E-4, 0.107441954, 1.6656092, 629, 0
32000, 0.049270585, 0.08513147, -2.949821E-4, 0.10761092, 1.6922499, 629, 0
33000, 0.04892924, 0.08909888, -3.264426E-4, 0.10778653, 1.7160286, 629, 0
34000, 0.049482863, 0.08924499, -3.6146888E-4, 0.10796088, 1.7416586, 631, 0
35000, 0.050051812, 0.07991613, -3.8544956E-4, 0.108128406, 1.7629962, 630, 0
36000, 0.050281223, 0.07948595, -4.1220084E-4, 0.108299136, 1.7851317, 630, 0
37000, 0.05082626, 0.079919815, -4.41643E-4, 0.10846206, 1.8059139, 630, 0
38000, 0.05153631, 0.072527334, -4.6668327E-4, 0.10861226, 1.8212217, 630, 0
39000, 0.051674142, 0.075818315, -4.9264776E-4, 0.10876354, 1.8407819, 630, 0
40000, 0.051575974, 0.07323214, -5.1688007E-4, 0.10892302, 1.85634, 632, 0
41000, 0.05209758, 0.07435075, -5.422157E-4, 0.10908141, 1.8737279, 633, 0
42000, 0.052251246, 0.06311199, -5.588795E-4, 0.109232396, 1.8870417, 633, 0
43000, 0.05251358, 0.064214006, -5.775399E-4, 0.10937496, 1.9037069, 633, 0
44000, 0.052470826, 0.0709066, -6.0014875E-4, 0.10951782, 1.9160357, 634, 0
45000, 0.053338528, 0.061543334, -6.1635324E-4, 0.10965958, 1.9317936, 633, 0
46000, 0.05300391, 0.06550897, -6.3421554E-4, 0.1097987, 1.9442129, 632, 0
47000, 0.053097744, 0.05765362, -6.4906984E-4, 0.109942004, 1.9567585, 631, 0
48000, 0.053699885, 0.05885623, -6.6403946E-4, 0.110088505, 1.9734718, 629, 0
49000, 0.05333636, 0.062936485, -6.8695424E-4, 0.110239096, 1.9884944, 629, 0
50000, 0.05387781, 0.050750412, -6.953158E-4, 0.1103827, 1.999673, 629, 0
51000, 0.05447181, 0.052066363, -7.103366E-4, 0.11051561, 2.0099106, 629, 0
52000, 0.05516614, 0.050286263, -7.1870955E-4, 0.110638514, 2.0258648, 629, 0
53000, 0.0539672, 0.058478504, -7.368756E-4, 0.110781565, 2.044562, 629, 0
54000, 0.05442726, 0.04842987, -7.467528E-4, 0.11091771, 2.054025, 630, 0
55000, 0.05469655, 0.051508274, -7.60336E-4, 0.11105802, 2.0664818, 630, 0
56000, 0.055216737, 0.059776213, -7.8308414E-4, 0.11119999, 2.0811293, 630, 0
57000, 0.0554995, 0.051748514, -7.9409685E-4, 0.111334935, 2.092907, 630, 0
58000, 0.05463833, 0.046387307, -8.0096745E-4, 0.11147353, 2.1019027, 629, 0
59000, 0.05531716, 0.0433182, -8.0929376E-4, 0.11159626, 2.1102405, 629, 0
60000, 0.055170204, 0.049097355, -8.225552E-4, 0.11172736, 2.119662, 629, 0
61000, 0.05533599, 0.043447547, -8.3169737E-4, 0.11186003, 2.1301968, 629, 0
62000, 0.055093918, 0.045185324, -8.3770155E-4, 0.11198376, 2.1330254, 630, 0
63000, 0.054714084, 0.053541593, -8.5391145E-4, 0.11212207, 2.1395848, 630, 0
64000, 0.05495565, 0.0512083, -8.6667744E-4, 0.112245016, 2.1431007, 630, 0
65000, 0.055446655, 0.05028796, -8.802524E-4, 0.11237021, 2.1463156, 630, 0
66000, 0.054811746, 0.040798012, -8.838473E-4, 0.112490274, 2.150545, 630, 0
67000, 0.05557313, 0.043538578, -8.865973E-4, 0.11260477, 2.1472547, 630, 0
68000, 0.055745352, 0.043245755, -8.9444435E-4, 0.11272338, 2.156875, 630, 0
69000, 0.05598948, 0.045469083, -8.9985767E-4, 0.11283367, 2.1743867, 629, 0
70000, 0.055191908, 0.049488712, -9.084022E-4, 0.1129601, 2.1944547, 629, 0
71000, 0.056391068, 0.050117943, -9.202347E-4, 0.11308117, 2.215126, 629, 0
