gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
1000, 0.03871585, 0.41061488, 0.002413651, 0.101649314, 0.42553315, 617, 0
2000, 0.034774724, 0.24357851, 0.0023966564, 0.10164058, 0.43682632, 620, 0
3000, 0.03304088, 0.18539295, 0.0023650296, 0.101658866, 0.5202971, 618, 0
4000, 0.03282688, 0.14793363, 0.002342957, 0.1017091, 0.6023758, 620, 0
5000, 0.032954283, 0.1327845, 0.0023222526, 0.10177377, 0.67385375, 617, 0
6000, 0.03283855, 0.115254596, 0.0023001574, 0.101843014, 0.73969823, 617, 0
7000, 0.0329065, 0.1063363, 0.0022926948, 0.1019407, 0.79993075, 617, 0
8000, 0.033776462, 0.10183311, 0.0022740343, 0.102034956, 0.860206, 618, 0
9000, 0.03393799, 0.094148725, 0.002260359, 0.10213682, 0.9147921, 618, 0
10000, 0.034193307, 0.09410978, 0.0022457219, 0.10224875, 0.96870977, 619, 0
11000, 0.03484039, 0.09371153, 0.002235056, 0.10238047, 1.0259411, 618, 0
12000, 0.034401253, 0.09392437, 0.0022242581, 0.102521524, 1.0890311, 618, 0
13000, 0.034889504, 0.09265159, 0.0022044373, 0.102642454, 1.1478418, 619, 0
14000, 0.035318524, 0.08506157, 0.002190787, 0.1027667, 1.1984646, 617, 0
15000, 0.035266664, 0.08622991, 0.0021748971, 0.10290514, 1.2545382, 618, 0
16000, 0.035316784, 0.08471045, 0.002157123, 0.10303608, 1.3068401, 619, 0
17000, 0.035651118, 0.07990071, 0.0021433877, 0.103171416, 1.3563143, 619, 0
18000, 0.03638549, 0.07914509, 0.0021216911, 0.10328064, 1.3951757, 618, 0
19000, 0.036379956, 0.077393904, 0.0021082594, 0.10340992, 1.4415959, 618, 0
20000, 0.036498286, 0.07925899, 0.0020892478, 0.103534855, 1.4881396, 618, 0
21000, 0.03692999, 0.077491455, 0.0020716183, 0.10364407, 1.5270149, 618, 0
22000, 0.036693126, 0.071573466, 0.0020633743, 0.10376863, 1.5631423, 618, 0
23000, 0.03691426, 0.0779441, 0.00204706, 0.10389219, 1.6077725, 619, 0
24000, 0.03697229, 0.08533053, 0.0020281277, 0.104019165, 1.6494612, 618, 0
25000, 0.037487593, 0.0812065, 0.0020088914, 0.10413204, 1.6865245, 618, 0
26000, 0.037747175, 0.07638856, 0.0019998462, 0.10424956, 1.7212967, 618, 0
27000, 0.038253028, 0.08104943, 0.0019741214, 0.10434986, 1.7506586, 618, 0
28000, 0.03839609, 0.07707381, 0.001953961, 0.104447104, 1.7777301, 618, 0
29000, 0.03856051, 0.07752066, 0.0019344778, 0.10453818, 1.8019564, 618, 0
30000, 0.039032165, 0.07637156, 0.001914904, 0.10463947, 1.8225306, 619, 0
31000, 0.038893346, 0.07130026, 0.0019073578, 0.10475387, 1.8446327, 620, 0
32000, 0.039537344, 0.06879669, 0.0018927368, 0.10485418, 1.861377, 620, 0
33000, 0.039601427, 0.07076129, 0.0018780241, 0.10494955, 1.8776913, 618, 0
34000, 0.04030218, 0.0719903, 0.0018580853, 0.105038345, 1.8877785, 618, 0
35000, 0.039721046, 0.066626415, 0.001847477, 0.105145425, 1.9006761, 618, 0
36000, 0.04013432, 0.06810436, 0.001827921, 0.10524439, 1.9117774, 618, 0
37000, 0.040074524, 0.059660178, 0.0018162965, 0.1053412, 1.9251428, 618, 0
38000, 0.039623216, 0.06557956, 0.0017993903, 0.105441615, 1.9353771, 619, 0
39000, 0.040194787, 0.055898163, 0.0017920602, 0.105531186, 1.9394345, 619, 0
40000, 0.040355105, 0.06224455, 0.001777866, 0.1056282, 1.948548, 618, 0
41000, 0.040015627, 0.06516883, 0.0017585665, 0.10572213, 1.956738, 617, 0
42000, 0.040126935, 0.05278053, 0.0017524359, 0.10580499, 1.9602549, 618, 0
43000, 0.039668445, 0.058450382, 0.0017377713, 0.10590638, 1.9713125, 618, 0
44000, 0.04057469, 0.057403166, 0.0017266145, 0.10599791, 1.9762596, 618, 0
45000, 0.039466195, 0.05506788, 0.0017147976, 0.10609799, 1.9842434, 617, 0
46000, 0.039671317, 0.059029967, 0.0017024173, 0.10617757, 1.9857467, 617, 0
47000, 0.03969533, 0.056839325, 0.0016913516, 0.106270134, 1.9952289, 618, 0
48000, 0.039669905, 0.06452006, 0.001668981, 0.10635412, 2.002174, 618, 0
49000, 0.039504312, 0.055753384, 0.0016674962, 0.10643387, 2.00253, 617, 0
50000, 0.038619258, 0.06743981, 0.0016460754, 0.10651998, 2.0105803, 617, 0
51000, 0.038701367, 0.057061624, 0.0016389056, 0.10660364, 2.0160027, 617, 0
52000, 0.038930796, 0.06490956, 0.0016180169, 0.10667378, 2.0226119, 617, 0
53000, 0.038793508, 0.05524601, 0.0016107426, 0.106743224, 2.0253272, 617, 0
54000, 0.039005388, 0.05916089, 0.0015942197, 0.106789574, 2.0252438, 617, 0
55000, 0.038301222, 0.060127255, 0.0015788431, 0.10685263, 2.0308607, 619, 0
56000, 0.03851729, 0.05825234, 0.0015626252, 0.10691078, 2.0375144, 618, 0
57000, 0.038956054, 0.062110428, 0.0015421996, 0.106961615, 2.0419796, 618, 0
58000, 0.038937893, 0.045278892, 0.0015363675, 0.10700754, 2.0448272, 618, 0
59000, 0.03924183, 0.052236874, 0.0015186846, 0.10705018, 2.049129, 618, 0
60000, 0.03916827, 0.051936347, 0.001510255, 0.10708403, 2.0500777, 617, 0
61000, 0.03922087, 0.048126742, 0.0014985944, 0.107110016, 2.0492015, 617, 0
62000, 0.039156586, 0.045639195, 0.0014864485, 0.107148856, 2.0549703, 617, 0
63000, 0.03891991, 0.054997686, 0.0014646115, 0.10718958, 2.0608106, 618, 0
64000, 0.039365787, 0.04223563, 0.0014520938, 0.10723259, 2.0662396, 619, 0
65000, 0.039073456, 0.044959597, 0.0014390798, 0.10727658, 2.0726147, 618, 0
66000, 0.039856587, 0.043938756, 0.0014237723, 0.10732117, 2.0785758, 617, 0
67000, 0.03992521, 0.04621109, 0.0014158582, 0.1073614, 2.0810568, 617, 0
68000, 0.04018052, 0.041891623, 0.0014074213, 0.10738313, 2.0811272, 617, 0
69000, 0.039483584, 0.047537126, 0.0014013791, 0.10744203, 2.0884798, 618, 0
70000, 0.040019188, 0.04363173, 0.0013916807, 0.1074721, 2.0909889, 618, 0
71000, 0.03979207, 0.0520808, 0.0013761036, 0.107515596, 2.0974448, 619, 0
72000, 0.040934958, 0.049362827, 0.0013627656, 0.107552156, 2.0993583, 619, 0
73000, 0.040822543, 0.04818897, 0.0013544301, 0.107591294, 2.1022558, 618, 0
74000, 0.040617306, 0.04499637, 0.0013461326, 0.1076261, 2.104998, 618, 0
75000, 0.04088501, 0.04210644, 0.0013421794, 0.10767836, 2.108685, 618, 0
76000, 0.04076533, 0.056747966, 0.0013222062, 0.10772127, 2.1148095, 618, 0
77000, 0.040890753, 0.05208516, 0.001327406, 0.107779585, 2.1172392, 617, 0
78000, 0.041167293, 0.05441146, 0.0013138787, 0.1078187, 2.121236, 618, 0
79000, 0.041249577, 0.04704739, 0.0013063105, 0.10786366, 2.121516, 618, 0
80000, 0.041334435, 0.046223044, 0.0013031985, 0.10791275, 2.1226377, 617, 0
81000, 0.041528124, 0.04579, 0.0012967455, 0.1079512, 2.1232114, 617, 0
82000, 0.04153786, 0.04678243, 0.0012961747, 0.107979774, 2.1183622, 617, 0
83000, 0.04162041, 0.04392553, 0.0012956719, 0.108026944, 2.119613, 619, 0
84000, 0.04153901, 0.051024005, 0.0012828577, 0.10809203, 2.1271787, 619, 0
85000, 0.040846404, 0.04498691, 0.0012733263, 0.10813992, 2.1303215, 619, 0
86000, 0.041599415, 0.044767886, 0.0012661129, 0.10819472, 2.1327677, 619, 0
87000, 0.041041516, 0.044083666, 0.0012605324, 0.108240515, 2.134083, 618, 0
88000, 0.041528724, 0.051934153, 0.0012724506, 0.1082658, 2.1266365, 617, 0
89000, 0.040942963, 0.04931416, 0.0012588976, 0.10830545, 2.1283789, 618, 0
90000, 0.040771298, 0.040915962, 0.0012631076, 0.108351454, 2.128317, 619, 0
91000, 0.041319538, 0.045998875, 0.0012551002, 0.108372696, 2.124032, 617, 0
92000, 0.041165356, 0.04093681, 0.0012593465, 0.108406305, 2.1214705, 617, 0
93000, 0.040696185, 0.039337464, 0.0012550533, 0.10845209, 2.1255074, 617, 0
94000, 0.04126464, 0.049753718, 0.0012431687, 0.10849141, 2.1242127, 619, 0
95000, 0.040575255, 0.03999622, 0.0012446488, 0.10852841, 2.1215568, 619, 0
96000, 0.04108121, 0.039914135, 0.0012428057, 0.108568236, 2.120931, 619, 0
97000, 0.04096438, 0.039050654, 0.0012492461, 0.10859445, 2.1175814, 618, 0
98000, 0.040851817, 0.050738595, 0.0012442019, 0.10860205, 2.108396, 618, 0
99000, 0.041833002, 0.049035646, 0.0012504093, 0.108617485, 2.0997705, 618, 0
100000, 0.04101814, 0.047996614, 0.0012556709, 0.10862933, 2.0929248, 619, 0
101000, 0.04031986, 0.049909137, 0.0012674797, 0.108616896, 2.0821815, 618, 0
102000, 0.040475458, 0.06028047, 0.0012648454, 0.108620666, 2.070203, 618, 0
103000, 0.04057851, 0.060330886, 0.0012793461, 0.10861526, 2.0570467, 617, 0
104000, 0.03920052, 0.0673319, 0.0012768727, 0.108655274, 2.0513837, 617, 0
105000, 0.039747037, 0.06058596, 0.0012803342, 0.10865131, 2.0402203, 617, 0
106000, 0.039784074, 0.05621661, 0.0012868497, 0.10866101, 2.0313547, 617, 0
107000, 0.038538296, 0.054818317, 0.0012889664, 0.108684145, 2.0211782, 617, 0
108000, 0.038660828, 0.054965235, 0.0012858324, 0.10868992, 2.0130446, 617, 0
109000, 0.038872022, 0.055897716, 0.0012916343, 0.10870242, 2.003081, 618, 0
110000, 0.038396426, 0.064209566, 0.0012883332, 0.108720206, 1.9941863, 618, 0
111000, 0.03882975, 0.059158165, 0.0012931672, 0.10871736, 1.9835713, 618, 0
112000, 0.03832862, 0.055545073, 0.001292716, 0.10872167, 1.9766046, 617, 0
113000, 0.037959065, 0.0504748, 0.00128798, 0.10873272, 1.9721606, 617, 0
114000, 0.037414566, 0.05224026, 0.0012916205, 0.10874114, 1.9651439, 619, 0
115000, 0.03746108, 0.060503177, 0.00128536, 0.10874737, 1.9575982, 618, 0
116000, 0.038072206, 0.046573415, 0.0012928456, 0.10872723, 1.9454831, 617, 0
117000, 0.036671713, 0.057016622, 0.0012826113, 0.10875072, 1.9446504, 617, 0
118000, 0.038204838, 0.050209794, 0.0012828441, 0.10873755, 1.9376544, 617, 0
119000, 0.037613858, 0.05958014, 0.0012650401, 0.1087351, 1.9345003, 619, 0
120000, 0.03725842, 0.04513395, 0.0012666192, 0.108723894, 1.9301354, 619, 0
121000, 0.037983034, 0.04708479, 0.0012715854, 0.108693026, 1.9201133, 619, 0
122000, 0.03698816, 0.057409845, 0.0012628158, 0.10869566, 1.9191781, 618, 0
123000, 0.037386026, 0.041366324, 0.0012626239, 0.108674586, 1.9122653, 618, 0
124000, 0.037305232, 0.047608934, 0.0012563244, 0.10865025, 1.9045441, 619, 0
125000, 0.037857946, 0.040714424, 0.0012526668, 0.108657345, 1.9018486, 620, 0
